year,temperature,actual_champion,actual_champion_prob,predicted_champion,predicted_champion_prob,top4_mass,top8_mass,top_pick_hit,multiclass_brier,champion_log_loss
2011,1.4,Connecticut,0.5696666666666667,Connecticut,0.5696666666666667,0.9810000000000001,0.9943333333333334,1,0.3171324444444445,0.5627038845346559
2012,1.4,Kentucky,0.7253333333333334,Kentucky,0.7253333333333334,0.891,0.9646666666666667,1,0.08946577777777774,0.32112395967441343
2013,1.4,Louisville,0.5153333333333333,Louisville,0.5153333333333333,0.791,0.9276666666666666,1,0.26596155555555556,0.6629413385028795
2014,1.4,Connecticut,0.26166666666666666,Connecticut,0.26166666666666666,0.7726666666666667,0.9016666666666667,1,0.650032,1.3406838498678384
2015,1.4,Duke,0.7223333333333334,Duke,0.7223333333333334,0.9776666666666668,0.9960000000000001,1,0.133236,0.3252685661138876
2016,1.4,Villanova,0.5626666666666666,Villanova,0.5626666666666666,0.8286666666666667,0.9516666666666667,1,0.22272088888888886,0.5750678924943443
2017,1.4,North Carolina,0.5166666666666667,North Carolina,0.5166666666666667,0.8353333333333334,0.9273333333333333,1,0.2790133333333333,0.6603573577369544
2018,1.4,Villanova,0.8433333333333334,Villanova,0.8433333333333334,0.927,0.9586666666666667,1,0.027597111111111093,0.17039298592868077
2019,1.4,Virginia,0.758,Virginia,0.758,0.9163333333333333,0.9723333333333333,1,0.07155444444444445,0.2770718933397654
2021,1.4,Baylor,0.8583333333333333,Baylor,0.8583333333333333,0.948,0.99,1,0.023597777777777794,0.15276275455241028
2022,1.4,Kansas,0.35733333333333334,Kansas,0.35733333333333334,0.6063333333333333,0.805,1,0.447340888888889,1.0290862260194995
2023,1.4,Connecticut,0.152,Alabama,0.24666666666666667,0.6206666666666667,0.8623333333333334,0,0.821918888888889,1.8838747581358606
2024,1.4,Connecticut,0.8733333333333333,Connecticut,0.8733333333333333,0.9723333333333333,0.988,1,0.02253111111111112,0.13543797089510426
2025,1.4,Florida,0.7733333333333333,Florida,0.7733333333333333,0.9363333333333334,0.9936666666666667,1,0.062206666666666674,0.25704510298989114
2011,1.6,Connecticut,0.5273333333333333,Connecticut,0.5273333333333333,0.9613333333333334,0.9866666666666667,1,0.3551968888888889,0.6399224193226476
2012,1.6,Kentucky,0.6483333333333333,Kentucky,0.6483333333333333,0.845,0.9356666666666666,1,0.14322822222222223,0.4333503115977001
2013,1.6,Louisville,0.45666666666666667,Louisville,0.45666666666666667,0.739,0.894,1,0.3296388888888888,0.7838015488280762
2014,1.6,Connecticut,0.22966666666666666,Arizona,0.23233333333333334,0.7196666666666667,0.8623333333333334,0,0.689438,1.4711262966365881
2015,1.6,Duke,0.6853333333333333,Duke,0.6853333333333333,0.9623333333333334,0.9903333333333334,1,0.15965644444444443,0.377849941075191
2016,1.6,Villanova,0.49966666666666665,Villanova,0.49966666666666665,0.7879999999999999,0.925,1,0.2872704444444444,0.6938140695476491
2017,1.6,North Carolina,0.4673333333333333,North Carolina,0.4673333333333333,0.7853333333333333,0.8913333333333333,1,0.3288377777777778,0.7607125000557113
2018,1.6,Villanova,0.7836666666666666,Villanova,0.7836666666666666,0.8866666666666666,0.9286666666666666,1,0.05161555555555558,0.24377151911017728
2019,1.6,Virginia,0.694,Virginia,0.694,0.8733333333333333,0.947,1,0.1099266666666667,0.36528331847533263
2021,1.6,Baylor,0.812,Baylor,0.812,0.9266666666666667,0.9790000000000001,1,0.04089666666666664,0.20825493882045903
2022,1.6,Kansas,0.31,Kansas,0.31,0.55,0.7530000000000001,1,0.5102388888888887,1.171182981502945
2023,1.6,Connecticut,0.14833333333333334,Alabama,0.21266666666666667,0.576,0.8206666666666667,0,0.812084888888889,1.9082932854840065
2024,1.6,Connecticut,0.836,Connecticut,0.836,0.95,0.9783333333333333,1,0.035054000000000016,0.17912666589743548
2025,1.6,Florida,0.715,Florida,0.715,0.9056666666666666,0.9873333333333333,1,0.09640155555555559,0.33547273628812946
2011,1.8,Connecticut,0.48533333333333334,Connecticut,0.48533333333333334,0.9329999999999999,0.9736666666666666,1,0.3963937777777777,0.7229193388936155
2012,1.8,Kentucky,0.5786666666666667,Kentucky,0.5786666666666667,0.7956666666666666,0.9060000000000001,1,0.20083955555555558,0.5470286724299512
2013,1.8,Louisville,0.4126666666666667,Louisville,0.4126666666666667,0.6956666666666668,0.8606666666666667,1,0.38057733333333327,0.8851151144057053
2014,1.8,Connecticut,0.199,Arizona,0.214,0.6586666666666667,0.8140000000000001,0,0.7273895555555554,1.6144504542576446
2015,1.8,Duke,0.636,Duke,0.636,0.9416666666666667,0.9803333333333333,1,0.19883311111111115,0.4525567156420149
2016,1.8,Villanova,0.44233333333333336,Villanova,0.44233333333333336,0.742,0.8943333333333334,1,0.35182044444444444,0.8156915333180392
2017,1.8,North Carolina,0.42,North Carolina,0.42,0.7300000000000001,0.852,1,0.37986044444444456,0.8675005677047231
2018,1.8,Villanova,0.7156666666666667,Villanova,0.7156666666666667,0.8386666666666667,0.892,1,0.08785244444444444,0.3345407697714657
2019,1.8,Virginia,0.6333333333333333,Virginia,0.6333333333333333,0.8223333333333332,0.9176666666666666,1,0.15291488888888893,0.456758402495715
2021,1.8,Baylor,0.7613333333333333,Baylor,0.7613333333333333,0.8949999999999999,0.9636666666666666,1,0.06479444444444446,0.27268399687434597
2022,1.8,Kansas,0.274,Kansas,0.274,0.5003333333333334,0.7070000000000001,1,0.5604448888888889,1.2946271725940668
2023,1.8,Connecticut,0.14033333333333334,Alabama,0.19366666666666665,0.5346666666666666,0.7823333333333333,0,0.8157193333333332,1.9637347339678652
2024,1.8,Connecticut,0.7826666666666666,Connecticut,0.7826666666666666,0.9243333333333333,0.961,1,0.05954155555555556,0.24504838670225973
2025,1.8,Florida,0.653,Florida,0.653,0.8716666666666667,0.9753333333333334,1,0.14064377777777778,0.42617814970570594
2011,2.0,Connecticut,0.46166666666666667,Connecticut,0.46166666666666667,0.9076666666666667,0.9593333333333334,1,0.4119840000000001,0.7729121490288079
2012,2.0,Kentucky,0.5296666666666666,Kentucky,0.5296666666666666,0.7479999999999999,0.8753333333333332,1,0.24550377777777782,0.6355074011135309
2013,2.0,Louisville,0.37166666666666665,Louisville,0.37166666666666665,0.6446666666666666,0.8203333333333334,1,0.4298811111111112,0.9897578837560277
2014,2.0,Connecticut,0.18033333333333335,Arizona,0.20133333333333334,0.6193333333333333,0.782,0,0.7513306666666665,1.7129482888037653
2015,2.0,Duke,0.5956666666666667,Duke,0.5956666666666667,0.9136666666666666,0.9686666666666667,1,0.23235555555555557,0.5180740524908187
2016,2.0,Villanova,0.404,Villanova,0.404,0.7043333333333334,0.8633333333333334,1,0.3967813333333334,0.9063404010209869
2017,2.0,North Carolina,0.378,North Carolina,0.378,0.6796666666666666,0.8146666666666667,1,0.42860333333333334,0.9728610833625494
2018,2.0,Villanova,0.662,Villanova,0.662,0.79,0.8540000000000001,1,0.12241955555555556,0.4124897230451288
2019,2.0,Virginia,0.5676666666666667,Virginia,0.5676666666666667,0.774,0.8863333333333333,1,0.208858,0.5662208869875585
2021,2.0,Baylor,0.7063333333333334,Baylor,0.7063333333333334,0.8556666666666667,0.9436666666666667,1,0.09662488888888886,0.34766800938194764
2022,2.0,Kansas,0.23833333333333334,Kansas,0.23833333333333334,0.46033333333333337,0.663,1,0.6134182222222222,1.4340850249562391
2023,2.0,Connecticut,0.13,Alabama,0.176,0.5,0.7453333333333334,0,0.8258160000000001,2.0402208285265546
2024,2.0,Connecticut,0.7246666666666667,Connecticut,0.7246666666666667,0.8876666666666667,0.9410000000000001,1,0.09130288888888889,0.322043499969092
2025,2.0,Florida,0.604,Florida,0.604,0.8356666666666668,0.9590000000000001,1,0.18056711111111112,0.5041810810473222
2011,2.25,Connecticut,0.4186666666666667,Connecticut,0.4186666666666667,0.8673333333333333,0.9363333333333332,1,0.4557486666666665,0.8706802206221027
2012,2.25,Kentucky,0.4656666666666667,Kentucky,0.4656666666666667,0.6876666666666666,0.8226666666666667,1,0.31086911111111104,0.764285208393285
2013,2.25,Louisville,0.33366666666666667,Louisville,0.33366666666666667,0.606,0.7836666666666666,1,0.47968866666666665,1.0976127883350262
2014,2.25,Connecticut,0.16,Arizona,0.18033333333333335,0.5603333333333333,0.7316666666666667,0,0.7741493333333331,1.8325814637483102
2015,2.25,Duke,0.533,Duke,0.533,0.8643333333333334,0.9496666666666668,1,0.29057066666666664,0.6292338548162925
2016,2.25,Villanova,0.3566666666666667,Villanova,0.3566666666666667,0.6566666666666667,0.8236666666666668,1,0.45576066666666665,1.030953640194295
2017,2.25,North Carolina,0.32866666666666666,North Carolina,0.32866666666666666,0.624,0.769,1,0.49213111111111124,1.1127112130476113
2018,2.25,Villanova,0.5886666666666667,Villanova,0.5886666666666667,0.729,0.8036666666666666,1,0.17929311111111113,0.5298951864863414
2019,2.25,Virginia,0.499,Virginia,0.499,0.7196666666666667,0.8493333333333333,1,0.27717644444444445,0.6951491832306184
2021,2.25,Baylor,0.644,Baylor,0.644,0.8079999999999999,0.9153333333333333,1,0.13991288888888886,0.4400565528777834
2022,2.25,Kansas,0.20266666666666666,Kansas,0.20266666666666666,0.415,0.6120000000000001,1,0.6683904444444445,1.5961926856840798
2023,2.25,Connecticut,0.11733333333333333,Alabama,0.15366666666666667,0.4573333333333333,0.6923333333333334,0,0.8386726666666666,2.1427363920521496
2024,2.25,Connecticut,0.6586666666666666,Connecticut,0.6586666666666666,0.8386666666666667,0.904,1,0.13453933333333337,0.4175376893424337
2025,2.25,Florida,0.5506666666666666,Florida,0.5506666666666666,0.7939999999999999,0.9386666666666668,1,0.22948111111111116,0.5966256135693234
2011,2.5,Connecticut,0.39266666666666666,Connecticut,0.39266666666666666,0.8250000000000001,0.9046666666666666,1,0.4734175555555555,0.9347942034387148
2012,2.5,Kentucky,0.4106666666666667,Kentucky,0.4106666666666667,0.6323333333333334,0.7776666666666667,1,0.37358044444444444,0.8899734235567817
2013,2.5,Louisville,0.3006666666666667,Louisville,0.3006666666666667,0.56,0.7413333333333334,1,0.5236282222222223,1.201753047587623
2014,2.5,Connecticut,0.14166666666666666,Arizona,0.16266666666666665,0.5106666666666667,0.6806666666666665,0,0.7969673333333335,1.9542783987258299
2015,2.5,Duke,0.4876666666666667,Duke,0.4876666666666667,0.8213333333333334,0.9213333333333333,1,0.33343466666666666,0.7181231666301224
2016,2.5,Villanova,0.318,Villanova,0.318,0.613,0.7836666666666667,1,0.5069653333333333,1.1457038962019601
2017,2.5,North Carolina,0.30033333333333334,North Carolina,0.30033333333333334,0.5783333333333334,0.7246666666666667,1,0.5276182222222221,1.202862310041909
2018,2.5,Villanova,0.5266666666666666,Villanova,0.5266666666666666,0.6683333333333332,0.7516666666666667,1,0.23534844444444442,0.6411874416292344
2019,2.5,Virginia,0.44966666666666666,Virginia,0.44966666666666666,0.6733333333333333,0.8166666666666667,1,0.3306942222222222,0.7992487114424909
2021,2.5,Baylor,0.58,Baylor,0.58,0.7576666666666667,0.8833333333333334,1,0.19263088888888893,0.5447271754416722
2022,2.5,Kansas,0.17433333333333334,Kansas,0.17433333333333334,0.37333333333333335,0.5660000000000001,1,0.7128326666666666,1.7467861035853238
2023,2.5,Connecticut,0.10866666666666666,Alabama,0.13766666666666666,0.417,0.6526666666666667,0,0.8472495555555554,2.219470186283539
2024,2.5,Connecticut,0.604,Connecticut,0.604,0.7913333333333333,0.8663333333333333,1,0.17583555555555558,0.5041810810473222
2025,2.5,Florida,0.49133333333333334,Florida,0.49133333333333334,0.7456666666666667,0.907,1,0.289874,0.7106324949009648
