team,Seas_Opp_Off_Rebound
E Tennessee St,0.271
UT Arlington,0.272
Oklahoma St,0.272
Texas,0.272
Saint Peter's,0.273
Kentucky,0.273
Arkansas,0.273
Rhode Island,0.27399999999999997
Wyoming,0.27399999999999997
LIU,0.27399999999999997
Lindenwood,0.27399999999999997
Florida Atlantic,0.27399999999999997
Bryant,0.27399999999999997
Rice,0.27399999999999997
St John's,0.275
Stony Brook,0.275
Rider,0.275
Oakland,0.276
Kennesaw St,0.276
Kent St,0.276
UMass,0.276
South Dakota,0.276
Little Rock,0.276
Charleston So,0.27699999999999997
S Florida,0.27699999999999997
NC Greensboro,0.27699999999999997
Duquesne,0.278
Incarnate Word,0.278
Arizona St,0.278
Queens,0.278
Georgia,0.27899999999999997
Vanderbilt,0.27899999999999997
NC Wilmington,0.27899999999999997
CS Fullerton,0.28
Bellarmine,0.28
Albany,0.28
Tulsa,0.281
Howard,0.281
Le Moyne,0.281
Lipscomb,0.281
W Michigan,0.281
Iowa St,0.281
UL Monroe,0.281
Temple,0.281
SF Austin,0.282
Coastal Car,0.282
N Illinois,0.282
Texas So,0.282
LSU,0.28300000000000003
UC Davis,0.28300000000000003
San Jose St,0.28300000000000003
Valparaiso,0.28300000000000003
Navy,0.28300000000000003
Robert Morris,0.28300000000000003
Houston,0.28300000000000003
Jacksonville,0.284
Miami OH,0.284
Troy,0.285
USC,0.285
Auburn,0.28600000000000003
Middle Tenn,0.28600000000000003
Iona,0.28600000000000003
SE Missouri St,0.28600000000000003
Marquette,0.287
Alabama,0.287
Southern Miss,0.287
New Mexico St,0.287
Mercer,0.287
Nebraska,0.287
N Arizona,0.287
E Kentucky,0.287
CS Bakersfield,0.287
McNeese,0.28800000000000003
Harvard,0.28800000000000003
Alcorn St,0.289
N Florida,0.289
Georgia St,0.289
SMU,0.289
Manhattan,0.289
SE Louisiana,0.289
Oregon St,0.29
La Salle,0.29
Fresno St,0.29
UMBC,0.29
Texas Tech,0.29100000000000004
Austin Peay,0.29100000000000004
S Carolina St,0.29100000000000004
C Arkansas,0.29100000000000004
F Dickinson,0.29100000000000004
UNLV,0.29100000000000004
Iowa,0.292
Old Dominion,0.292
Southern,0.292
Siena,0.292
Georgetown,0.292
Rutgers,0.292
Michigan,0.293
Ohio,0.293
Kansas St,0.293
UTEP,0.294
Norfolk St,0.294
Oral Roberts,0.294
Nicholls,0.294
Penn St,0.295
Abl Christian,0.295
Jackson St,0.295
E Michigan,0.295
Utah Tech,0.295
San Diego,0.295
E Carolina,0.295
St Francis PA,0.295
Air Force,0.29600000000000004
West Virginia,0.297
Fairfield,0.297
VMI,0.298
Florida A&M,0.298
Stonehill,0.298
Cornell,0.299
N Texas,0.299
Buffalo,0.299
C Michigan,0.3
NC Asheville,0.301
Lamar,0.301
Tennessee St,0.302
Sacred Heart,0.302
Milwaukee,0.302
Louisiana,0.303
S Alabama,0.303
DePaul,0.303
Samford,0.303
Stetson,0.304
Tulane,0.305
Monmouth,0.305
Delaware St,0.305
NJIT,0.306
Syracuse,0.307
Hampton,0.307
Campbell,0.308
Alabama A&M,0.308
Florida St,0.31
Tarleton St,0.311
Memphis,0.311
Bethune,0.313
Winthrop,0.314
N Kentucky,0.315
Grambling,0.315
Radford,0.316
S Utah,0.316
UT Rio Grande,0.316
Georgia So,0.316
Elon,0.317
E Texas A&M,0.318
NC Central,0.321
Maryland ES,0.321
Cleveland St,0.322
AR-Pine Bluff,0.322
Cal Poly,0.324
Hou Christian,0.324
NC A&T,0.325
NW State,0.327
Merrimack,0.32799999999999996
Mississippi,0.32899999999999996
Pacific,0.331
SC Upstate,0.33399999999999996
New Orleans,0.33399999999999996
Prairie View,0.335
Chicago St,0.336
Missouri,0.336
Detroit Mercy,0.341
IU Indy,0.34299999999999997
Miss Valley St,0.344
Morgan St,0.348
Florida Intl,0.35
Coppin St,0.365
