team,Seas_Poss
Indiana,71.0
Southern Miss,71.0
Temple,70.9
W Michigan,70.9
Georgia Tech,70.9
Cincinnati,70.9
S Florida,70.9
Ohio,70.9
Wake Forest,70.9
Providence,70.9
NC State,70.8
Mississippi,70.8
Missouri St,70.8
SMU,70.7
Saint Joseph's,70.7
Gonzaga,70.7
Rutgers,70.7
Rider,70.7
Oregon,70.6
UCSB,70.6
Cleveland St,70.6
Rhode Island,70.6
Mississippi St,70.6
Presbyterian,70.6
Kent St,70.6
Pacific,70.5
Creighton,70.5
West Virginia,70.5
Binghamton,70.5
N Florida,70.5
Chattanooga,70.5
High Point,70.5
Texas St,70.5
Stony Brook,70.4
Missouri,70.4
Maryland ES,70.4
La Salle,70.3
Brown,70.3
Texas,70.3
Oral Roberts,70.2
Fairfield,70.2
Harvard,70.2
Valparaiso,70.2
UC Davis,70.2
Oklahoma St,70.2
UL Monroe,70.2
E Tennessee St,70.2
IU Indy,70.2
W Carolina,70.1
Purdue,70.1
Portland,70.1
Oklahoma,70.1
Alcorn St,70.1
Minnesota,70.1
DePaul,70.0
Ball St,70.0
Merrimack,70.0
Seton Hall,70.0
Texas A&M,70.0
N Kentucky,70.0
Le Moyne,70.0
Rice,70.0
New Mexico St,70.0
Kansas City,70.0
Hawai'i,69.9
North Dakota,69.9
Wyoming,69.9
Detroit Mercy,69.9
Canisius,69.9
NC A&T,69.8
S Dakota St,69.8
NJIT,69.8
Coppin St,69.8
Lindenwood,69.7
Clemson,69.7
Baylor,69.7
San Diego St,69.6
Middle Tenn,69.6
Vanderbilt,69.6
Ohio St,69.6
Georgetown,69.6
San Francisco,69.6
Tarleton St,69.6
Iona,69.5
Monmouth,69.5
Miami OH,69.5
Louisiana Tech,69.5
Delaware,69.5
Wofford,69.4
UC Riverside,69.4
Boston College,69.4
NC Central,69.4
Jacksonville,69.4
Mercer,69.4
Oregon St,69.3
SIU Edward,69.3
C Michigan,69.3
Niagara,69.3
N Iowa,69.3
C Connecticut,69.3
Virginia Tech,69.3
Maine,69.2
Omaha,69.1
Charleston So,69.1
Penn,69.1
Iowa St,69.0
Norfolk St,69.0
N Dakota St,69.0
Elon,69.0
Bradley,68.9
Cal Poly,68.9
Tenn Tech,68.9
UCSD,68.9
Texas Tech,68.8
Siena,68.8
E Illinois,68.8
Richmond,68.7
E Michigan,68.7
Maryland,68.7
Campbell,68.7
CS Fullerton,68.7
Oakland,68.6
Bellarmine,68.6
Longwood,68.6
Duke,68.6
Nevada,68.5
Washington St,68.5
SE Louisiana,68.5
Hofstra,68.5
Akron,68.4
Pittsburgh,68.4
Austin Peay,68.4
Duquesne,68.4
W Illinois,68.4
Fresno St,68.4
NC Greensboro,68.3
Yale,68.3
Chicago St,68.3
Stetson,68.3
Boise St,68.3
Michigan St,68.3
St Francis PA,68.2
CS Bakersfield,68.2
NC Wilmington,68.2
Montana,68.2
Grambling,68.2
McNeese,68.1
Loyola MD,68.1
Jacksonville St,68.1
The Citadel,68.1
Wisconsin,68.0
St Bonaventure,68.0
VCU,68.0
Boston U,67.9
Navy,67.9
Colorado St,67.9
Lafayette,67.9
UConn,67.9
San Jose St,67.9
Miss Valley St,67.8
Pepperdine,67.8
UNLV,67.8
E Carolina,67.7
Radford,67.7
S Illinois,67.7
SC Upstate,67.6
Drexel,67.6
Liberty,67.5
Northeastern,67.5
Weber St,67.5
Saint Peter's,67.4
Villanova,67.4
Cal Baptist,67.3
Northwestern,67.3
Idaho,67.3
Morehead St,67.3
Colgate,67.3
Dartmouth,67.2
South Carolina,67.2
Loyola Mymt,67.1
FGCU,67.1
Idaho St,67.0
Holy Cross,66.9
Green Bay,66.9
Notre Dame,66.9
Murray St,66.8
Vermont,66.7
Princeton,66.6
Marist,66.6
Illinois St,66.6
George Mason,66.5
Dayton,66.5
Bucknell,66.4
Houston,66.4
UCLA,66.2
Sacramento St,66.2
Davidson,66.1
Saint Mary's,66.0
William & Mary,65.8
Towson,65.6
Army,65.3
N Texas,65.2
Charlotte,65.0
Air Force,65.0
St Thomas,65.0
Wagner,65.0
American,64.6
Virginia,63.3
