team,Seas_Opp_Turnover
Wisconsin,11.3
Davidson,11.3
AR-Pine Bluff,11.3
Boston U,11.3
N Iowa,11.3
Liberty,11.2
Air Force,11.2
Bowling Green,11.2
UMass Lowell,11.2
BYU,11.2
Kansas St,11.2
Oakland,11.2
Canisius,11.2
Stanford,11.2
UMBC,11.2
VCU,11.2
Georgetown,11.2
Northeastern,11.2
Gonzaga,11.1
Milwaukee,11.1
Colorado St,11.1
Pacific,11.1
N Colorado,11.1
Pittsburgh,11.1
Indiana St,11.1
Princeton,11.1
Ball St,11.1
Campbell,11.1
Rider,11.1
Austin Peay,11.1
Akron,11.1
Arkansas,11.1
C Michigan,11.0
Robert Morris,11.0
Idaho,10.9
Harvard,10.9
Minnesota,10.9
Incarnate Word,10.9
New Mexico St,10.9
Vanderbilt,10.8
NC A&T,10.8
Wyoming,10.8
American,10.8
Florida,10.8
C Arkansas,10.8
Omaha,10.8
California,10.8
Ohio St,10.8
W Michigan,10.8
The Citadel,10.8
Towson,10.8
Hawai'i,10.8
Yale,10.7
S Illinois,10.7
Boston College,10.7
UC Riverside,10.7
Middle Tenn,10.7
Colgate,10.7
Illinois St,10.7
George Mason,10.7
Bucknell,10.7
Saint Mary's,10.7
Wagner,10.6
Buffalo,10.6
Elon,10.6
Villanova,10.6
North Carolina,10.6
San Jose St,10.6
UConn,10.6
Colorado,10.6
E Michigan,10.6
Army,10.5
La Salle,10.5
Hampton,10.5
North Dakota,10.5
Washington St,10.5
Stony Brook,10.4
Tenn Tech,10.4
Loyola MD,10.4
Radford,10.4
West Virginia,10.4
FGCU,10.4
Dayton,10.4
Wichita St,10.3
Indiana,10.3
Fresno St,10.3
Denver,10.2
Delaware,10.2
App State,10.2
Utah,10.1
Rice,10.1
Morehead St,10.1
Cal Baptist,10.1
Santa Clara,10.1
Sacramento St,10.1
Oral Roberts,10.1
Georgia St,10.0
G Washington,10.0
N Florida,10.0
N Illinois,10.0
Chattanooga,10.0
Arkansas St,10.0
Hou Christian,10.0
Notre Dame,9.9
DePaul,9.9
Siena,9.9
N Alabama,9.9
UCSB,9.9
Vermont,9.9
Saint Louis,9.8
E Kentucky,9.8
Bellarmine,9.8
South Carolina,9.8
UT Martin,9.8
High Point,9.7
Charlotte,9.7
Wofford,9.6
Michigan,9.6
Clemson,9.5
UTSA,9.5
W Illinois,9.4
Purdue,9.4
Penn,9.4
Montana,9.4
William & Mary,9.3
Binghamton,9.2
W Carolina,9.1
Green Bay,9.1
Missouri St,9.1
Charleston So,9.1
Coastal Car,9.1
Portland,9.0
Stetson,9.0
Rhode Island,9.0
N Dakota St,9.0
Georgia Tech,8.8
Dartmouth,8.8
Illinois,8.7
Drexel,8.6
Holy Cross,8.4
South Dakota,8.2
Loyola Mymt,8.1
Creighton,7.6
