team,Seas_FT_Succ
Idaho St,0.687
UTEP,0.6859999999999999
Penn,0.685
E Kentucky,0.684
New Mexico St,0.684
SE Missouri St,0.684
SMU,0.6829999999999999
Air Force,0.682
Lafayette,0.682
N Illinois,0.682
Fresno St,0.6809999999999999
Colgate,0.6809999999999999
Loyola Chi,0.68
LIU,0.677
Kennesaw St,0.677
CS Northridge,0.675
Dartmouth,0.675
Binghamton,0.674
Coastal Car,0.674
E Michigan,0.672
E Tennessee St,0.672
Utah Valley,0.672
Saint Mary's,0.672
Mississippi St,0.67
Cleveland St,0.6679999999999999
Siena,0.667
Southern,0.667
Holy Cross,0.667
Bryant,0.665
Florida Intl,0.664
Indiana,0.664
Presbyterian,0.6629999999999999
Mercer,0.6629999999999999
UL Monroe,0.6629999999999999
NW State,0.662
Liberty,0.662
Fordham,0.662
Old Dominion,0.662
C Michigan,0.6609999999999999
Towson,0.659
Miss Valley St,0.6579999999999999
Rutgers,0.6579999999999999
Brown,0.655
Arizona St,0.655
Iona,0.652
Utah,0.65
Rhode Island,0.647
Pacific,0.6459999999999999
SC Upstate,0.6459999999999999
Loyola MD,0.642
Hou Christian,0.6409999999999999
Utah Tech,0.637
Virginia,0.637
Gardner-Webb,0.629
W Michigan,0.623
W Illinois,0.623
Wofford,0.622
Canisius,0.619
St Francis PA,0.606
Army,0.598
