team,Seas_3PT_Rate
Lafayette,0.4
Clemson,0.39899999999999997
Loyola Mymt,0.39899999999999997
Lipscomb,0.39799999999999996
La Salle,0.39799999999999996
Davidson,0.397
Missouri,0.397
Incarnate Word,0.397
NC Wilmington,0.397
SC Upstate,0.395
Rice,0.39399999999999996
Harvard,0.39399999999999996
Winthrop,0.39399999999999996
Boise St,0.39399999999999996
Vanderbilt,0.39299999999999996
F Dickinson,0.39299999999999996
High Point,0.392
Drake,0.392
NJIT,0.392
Kent St,0.392
Penn St,0.392
Duquesne,0.391
N Texas,0.391
Minnesota,0.391
Florida Atlantic,0.391
N Illinois,0.391
Howard,0.39
W Michigan,0.389
Weber St,0.389
Baylor,0.389
Memphis,0.389
Texas So,0.38799999999999996
Milwaukee,0.38799999999999996
Iona,0.387
Loyola MD,0.387
Manhattan,0.387
Hampton,0.386
Campbell,0.386
SE Louisiana,0.386
Illinois,0.385
Mississippi St,0.385
Santa Clara,0.385
Fresno St,0.385
Oklahoma,0.385
Columbia,0.385
Alabama St,0.384
Boston College,0.38299999999999995
Colorado St,0.382
Charlotte,0.382
Colgate,0.381
UT Martin,0.381
Butler,0.38
Michigan,0.38
Southern,0.38
San Diego St,0.38
Ball St,0.379
NC Central,0.379
J Madison,0.379
Seattle,0.37799999999999995
C Arkansas,0.37799999999999995
Bryant,0.37799999999999995
Saint Louis,0.37799999999999995
Wagner,0.377
Texas A&M,0.377
Holy Cross,0.377
Arizona St,0.377
Portland St,0.376
Lehigh,0.376
LSU,0.376
Montana,0.376
Illinois St,0.375
Maryland,0.375
George Mason,0.375
Kentucky,0.375
Auburn,0.375
Duke,0.375
Wake Forest,0.374
UC Davis,0.374
West Virginia,0.374
FGCU,0.373
NC Asheville,0.373
Bellarmine,0.373
Wyoming,0.37
Albany,0.369
Detroit Mercy,0.369
Stony Brook,0.369
Missouri St,0.368
SIU Edward,0.368
N Iowa,0.368
Washington,0.368
Houston,0.368
Cincinnati,0.368
Saint Mary's,0.36700000000000005
St Bonaventure,0.36700000000000005
USC,0.36700000000000005
E Carolina,0.365
Valparaiso,0.364
Marist,0.364
Northwestern,0.364
Monmouth,0.363
Pacific,0.363
Oregon,0.363
S Indiana,0.363
CS Fullerton,0.36200000000000004
Louisiana,0.36200000000000004
S Alabama,0.361
North Carolina,0.361
Grand Canyon,0.361
Northeastern,0.361
Canisius,0.361
Tennessee St,0.36
N Colorado,0.359
Cal Baptist,0.359
N Dakota St,0.359
Charleston So,0.359
UCF,0.359
NC A&T,0.35700000000000004
Delaware,0.35700000000000004
Tulane,0.35600000000000004
SMU,0.355
Wisconsin,0.355
W Carolina,0.355
Yale,0.354
Gardner-Webb,0.354
C Connecticut,0.354
Richmond,0.354
Georgia St,0.353
Murray St,0.353
Lamar,0.353
N Arizona,0.35200000000000004
Mississippi,0.35200000000000004
C Michigan,0.35200000000000004
St Francis PA,0.35100000000000003
UMass,0.35100000000000003
Old Dominion,0.35100000000000003
Austin Peay,0.35100000000000003
UMBC,0.35
Idaho St,0.35
S Utah,0.35
Sam Houston,0.35
Evansville,0.349
Maryland ES,0.348
DePaul,0.348
Bowling Green,0.348
Utah Tech,0.348
Texas,0.348
Purdue,0.34700000000000003
Ohio St,0.34700000000000003
UNLV,0.34600000000000003
Louisiana Tech,0.34600000000000003
N Alabama,0.34600000000000003
New Mexico St,0.34600000000000003
Florida,0.345
South Dakota,0.345
Chicago St,0.345
NW State,0.344
Coppin St,0.344
Siena,0.34299999999999997
Radford,0.342
Quinnipiac,0.342
Tenn Tech,0.341
Sacred Heart,0.341
Towson,0.341
San Diego,0.341
Oregon St,0.34
Cal Poly,0.33899999999999997
Jackson St,0.33799999999999997
Syracuse,0.33799999999999997
Nevada,0.337
Southern Miss,0.337
Utah St,0.336
E Kentucky,0.336
McNeese,0.335
SE Missouri St,0.335
Arizona,0.33399999999999996
Rhode Island,0.33399999999999996
VMI,0.33299999999999996
NC State,0.33299999999999996
The Citadel,0.33299999999999996
Mt St Mary's,0.33299999999999996
N Kentucky,0.332
Drexel,0.332
Jacksonville,0.331
Navy,0.331
Omaha,0.33
Presbyterian,0.33
Arkansas,0.32899999999999996
Coastal Car,0.32899999999999996
Virginia,0.326
Norfolk St,0.325
St John's,0.325
Pepperdine,0.324
E Michigan,0.32299999999999995
Maine,0.322
Washington St,0.322
SF Austin,0.321
Xavier,0.32
S Carolina St,0.319
Niagara,0.318
Rutgers,0.317
Florida St,0.316
UAB,0.316
Iowa St,0.315
Wichita St,0.315
Saint Peter's,0.315
App State,0.315
Gonzaga,0.313
UTEP,0.313
Cleveland St,0.312
Seton Hall,0.312
Louisville,0.312
W Kentucky,0.311
Little Rock,0.311
W Illinois,0.31
Lindenwood,0.307
Binghamton,0.307
Colorado,0.306
UCSB,0.304
Michigan St,0.304
Tarleton St,0.304
Miss Valley St,0.304
TCU,0.303
UCLA,0.301
Mercer,0.301
New Mexico,0.299
LIU,0.299
Iowa,0.299
Florida A&M,0.299
Kansas,0.298
Bethune,0.297
Texas A&M-CC,0.297
E Illinois,0.29600000000000004
Wright St,0.293
New Orleans,0.292
UT Rio Grande,0.292
UMass Lowell,0.292
Grambling,0.29
Utah Valley,0.289
UL Monroe,0.287
Toledo,0.28600000000000003
Longwood,0.285
Jacksonville St,0.28300000000000003
Rider,0.281
Long Beach St,0.281
Hou Christian,0.28
Indiana,0.278
UC Irvine,0.27699999999999997
Morgan St,0.26899999999999996
Alabama A&M,0.26899999999999996
Alcorn St,0.266
Abl Christian,0.264
CS Northridge,0.264
Prairie View,0.264
CS Bakersfield,0.257
Delaware St,0.251
IU Indy,0.243
Texas St,0.242
