team,Seas_Opp_Fouls
W Illinois,17.6
Oregon,17.5
NC Wilmington,17.5
UCSD,17.5
Jacksonville St,17.5
Jackson St,17.5
Jacksonville,17.5
J Madison,17.5
North Dakota,17.4
Vanderbilt,17.4
UT Martin,17.4
Pepperdine,17.4
Saint Louis,17.4
Iowa,17.4
N Alabama,17.4
Weber St,17.3
Providence,17.3
Lehigh,17.3
Youngstown St,17.3
Mississippi,17.3
S Dakota St,17.3
Montana St,17.3
Southern Miss,17.3
Cal Poly,17.3
USC,17.2
Middle Tenn,17.2
Kent St,17.2
Loyola Chi,17.2
Binghamton,17.2
Akron,17.2
Bryant,17.2
Boise St,17.2
LSU,17.2
Southern,17.2
Nicholls,17.2
Drake,17.1
Kansas City,17.1
N Kentucky,17.1
Missouri,17.1
Texas Tech,17.1
Miami OH,17.1
Ohio,17.1
Harvard,17.0
Rutgers,17.0
Kentucky,17.0
UC Riverside,17.0
Duquesne,17.0
Washington St,17.0
N Arizona,17.0
CS Bakersfield,17.0
Little Rock,16.9
Michigan,16.9
Chicago St,16.9
Indiana St,16.9
Colorado St,16.9
Virginia Tech,16.9
Stetson,16.8
DePaul,16.8
Pittsburgh,16.8
VCU,16.8
Michigan St,16.8
Georgetown,16.8
South Dakota,16.8
E Tennessee St,16.8
Miss Valley St,16.7
Loyola MD,16.7
Campbell,16.7
Arizona St,16.7
Utah,16.7
Davidson,16.7
The Citadel,16.7
NC A&T,16.7
Merrimack,16.7
Northwestern,16.7
Cleveland St,16.7
Sacramento St,16.7
Gonzaga,16.6
Missouri St,16.6
Tarleton St,16.6
Minnesota,16.6
Dayton,16.6
UConn,16.6
UNLV,16.6
Oklahoma St,16.6
Rider,16.5
New Hampshire,16.5
Stanford,16.5
Purdue FW,16.5
SIU Edward,16.5
Arkansas St,16.5
Princeton,16.5
Maryland ES,16.5
Elon,16.5
E Kentucky,16.5
Wofford,16.4
Texas So,16.4
Temple,16.4
St Francis PA,16.4
SE Louisiana,16.4
Charleston,16.4
App State,16.4
Belmont,16.4
San Diego,16.4
SE Missouri St,16.4
Charlotte,16.4
Coastal Car,16.3
Furman,16.3
South Carolina,16.3
Seton Hall,16.3
E Carolina,16.3
Texas,16.3
Georgia Tech,16.3
New Mexico St,16.3
Syracuse,16.2
Morgan St,16.2
Liberty,16.2
Nebraska,16.2
Houston,16.2
Austin Peay,16.2
Bucknell,16.2
Cornell,16.2
Alabama St,16.2
VMI,16.2
IU Indy,16.2
NC Greensboro,16.2
Yale,16.2
Marshall,16.2
California,16.2
Kansas,16.2
NC State,16.1
N Dakota St,16.1
Hampton,16.1
St Thomas,16.1
Florida Intl,16.1
SC Upstate,16.1
Drexel,16.1
Detroit Mercy,16.1
Siena,16.1
Duke,16.1
W Carolina,16.1
William & Mary,16.1
Louisiana,16.1
St Bonaventure,16.0
Grambling,16.0
Chattanooga,16.0
S Alabama,16.0
G Washington,16.0
American,16.0
Air Force,16.0
Georgia St,16.0
C Connecticut,16.0
Charleston So,16.0
Evansville,15.9
LIU,15.9
Clemson,15.9
Saint Joseph's,15.9
Montana,15.9
Oakland,15.9
Towson,15.8
C Arkansas,15.8
St John's,15.8
Fresno St,15.8
Boston U,15.8
Delaware,15.8
Albany,15.8
N Colorado,15.8
Green Bay,15.8
Monmouth,15.8
Sacred Heart,15.7
Saint Mary's,15.7
Coppin St,15.7
Rice,15.7
Cincinnati,15.7
Morehead St,15.6
Tenn Tech,15.6
NJIT,15.6
UMBC,15.6
Robert Morris,15.6
Dartmouth,15.6
Quinnipiac,15.5
Georgia So,15.5
Columbia,15.5
Stony Brook,15.5
Fairfield,15.4
La Salle,15.4
C Michigan,15.4
Marist,15.4
Bradley,15.4
Butler,15.4
Loyola Mymt,15.4
Lipscomb,15.4
Vermont,15.3
Maine,15.3
E Texas A&M,15.3
BYU,15.3
Northeastern,15.3
Murray St,15.2
Old Dominion,15.2
Radford,15.2
Richmond,15.1
Florida A&M,15.1
SMU,15.1
Iona,15.1
Army,15.0
Boston College,15.0
Canisius,15.0
Valparaiso,15.0
Miami,15.0
FGCU,15.0
Mt St Mary's,14.9
N Florida,14.9
San Francisco,14.9
Idaho,14.9
N Texas,14.8
Penn,14.8
Mercer,14.8
Creighton,14.8
E Michigan,14.8
Notre Dame,14.7
Lafayette,14.6
Marquette,14.6
Wichita St,14.6
E Illinois,14.6
Illinois Chicago,14.6
Colgate,14.4
Buffalo,14.3
Hofstra,14.3
Villanova,14.2
Holy Cross,14.2
San Jose St,14.2
Le Moyne,14.1
Stonehill,14.1
Wagner,14.0
Manhattan,13.8
Oral Roberts,13.8
Bellarmine,13.3
Virginia,13.1
