team,Seas_Turnovers
NC Asheville,12.0
Baylor,12.0
Air Force,12.0
Cincinnati,12.0
Missouri St,12.0
Bryant,12.0
Elon,12.0
S Utah,12.0
Tenn Tech,12.0
NC Central,12.0
Belmont,12.1
Miami,12.1
Marist,12.1
Kennesaw St,12.1
Army,12.1
Lindenwood,12.1
Providence,12.1
Indiana,12.1
VCU,12.1
Wright St,12.1
Cornell,12.1
Green Bay,12.2
CS Bakersfield,12.2
New Hampshire,12.2
Campbell,12.2
Georgetown,12.2
Harvard,12.2
N Kentucky,12.2
CS Fullerton,12.2
Bradley,12.2
Towson,12.2
SE Missouri St,12.2
Charleston So,12.2
Kansas City,12.2
Quinnipiac,12.2
New Mexico St,12.3
Bucknell,12.3
Georgia Tech,12.3
Little Rock,12.3
G Washington,12.3
Columbia,12.3
Illinois Chicago,12.4
Grand Canyon,12.4
Rider,12.4
Binghamton,12.4
Wichita St,12.4
Texas A&M-CC,12.4
Oregon St,12.4
E Tennessee St,12.4
Northeastern,12.4
Norfolk St,12.5
UL Monroe,12.5
Oklahoma,12.5
Long Beach St,12.5
Ball St,12.5
New Orleans,12.5
Notre Dame,12.5
UCF,12.5
Cal Poly,12.5
Hawai'i,12.5
Utah Valley,12.5
Hampton,12.5
Fresno St,12.6
Longwood,12.6
Brown,12.6
Seton Hall,12.6
N Arizona,12.6
Colorado,12.6
Saint Peter's,12.6
Texas So,12.6
Wyoming,12.6
F Dickinson,12.6
Abl Christian,12.6
Louisiana Tech,12.7
West Virginia,12.7
USC,12.7
N Illinois,12.7
C Arkansas,12.7
Santa Clara,12.8
Prairie View,12.8
Lamar,12.8
Rhode Island,12.8
Louisville,12.8
Stanford,12.8
Southern Miss,12.8
Seattle,12.9
Milwaukee,12.9
Dartmouth,12.9
TCU,12.9
Oklahoma St,12.9
Loyola Chi,12.9
Fordham,12.9
South Dakota,12.9
Michigan,12.9
Mississippi St,13.0
Jacksonville,13.0
Merrimack,13.0
Sam Houston,13.0
Winthrop,13.0
Memphis,13.1
UMBC,13.1
Tulsa,13.1
Albany,13.1
Canisius,13.1
AR-Pine Bluff,13.1
UC Davis,13.2
San Diego,13.2
Samford,13.2
LSU,13.2
UMass Lowell,13.2
UCSB,13.2
Georgia So,13.2
Nicholls,13.3
Detroit Mercy,13.3
Chicago St,13.3
Grambling,13.3
Jackson St,13.4
W Illinois,13.4
NW State,13.5
Manhattan,13.5
Loyola MD,13.5
E Washington,13.5
Jacksonville St,13.5
Florida Intl,13.5
S Indiana,13.6
DePaul,13.6
Stonehill,13.6
W Michigan,13.6
Coastal Car,13.6
Texas St,13.7
Tennessee St,13.7
Maryland ES,13.8
CS Northridge,13.9
Robert Morris,13.9
W Kentucky,13.9
Bethune,13.9
SE Louisiana,14.0
Middle Tenn,14.0
Troy,14.0
UT Rio Grande,14.0
Buffalo,14.1
St Francis PA,14.1
Southern,14.1
LIU,14.4
Morgan St,14.5
Mt St Mary's,14.5
IU Indy,14.7
Sacramento St,14.8
Howard,14.8
Kansas St,14.9
Delaware St,15.0
Florida A&M,15.0
UTEP,15.0
S Carolina St,15.0
Hou Christian,15.3
Coppin St,15.5
UT Arlington,15.6
Incarnate Word,15.6
Siena,15.7
SF Austin,15.8
Utah Tech,15.8
VMI,15.9
Miss Valley St,15.9
Alabama A&M,16.1
