team,Seas_Opp_Fouls
Oral Roberts,17.2
Drake,17.2
Pepperdine,17.1
Monmouth,17.1
Jackson St,17.1
SC Upstate,17.1
Pacific,17.0
Georgia St,17.0
Washington,17.0
N Kentucky,17.0
Cal Poly,17.0
Seton Hall,17.0
New Mexico St,17.0
Purdue FW,17.0
UCSB,17.0
Kent St,17.0
Charleston,17.0
S Illinois,17.0
E Carolina,17.0
SE Louisiana,17.0
Lehigh,17.0
Maryland ES,17.0
VCU,16.9
Queens,16.9
Bowling Green,16.9
Kansas City,16.9
Mercyhurst,16.9
Dartmouth,16.8
Weber St,16.8
BYU,16.8
Buffalo,16.8
SIU Edward,16.8
Idaho,16.8
Manhattan,16.8
Saint Mary's,16.8
App State,16.8
Akron,16.8
N Iowa,16.8
LSU,16.8
UTEP,16.8
E Washington,16.8
Baylor,16.8
Northwestern,16.8
Arkansas St,16.7
Notre Dame,16.7
Morehead St,16.7
Florida A&M,16.7
N Dakota St,16.7
Miami OH,16.7
N Illinois,16.7
Boston College,16.7
Texas A&M-CC,16.7
Coppin St,16.7
Minnesota,16.6
New Orleans,16.6
Cal Baptist,16.6
Middle Tenn,16.6
Duke,16.6
Tulsa,16.5
Samford,16.5
W Kentucky,16.5
UCSD,16.5
Duquesne,16.5
Saint Peter's,16.5
UC Riverside,16.5
La Salle,16.5
S Indiana,16.5
Cornell,16.4
E Tennessee St,16.4
E Illinois,16.4
Wichita St,16.4
Montana St,16.4
N Colorado,16.4
Missouri St,16.4
Chattanooga,16.4
Southern Miss,16.4
IU Indy,16.4
AR-Pine Bluff,16.4
SF Austin,16.4
Wright St,16.4
Louisiana Tech,16.3
Lafayette,16.3
F Dickinson,16.3
N Arizona,16.3
Georgia Tech,16.3
Furman,16.3
Binghamton,16.3
UT Martin,16.3
NC A&T,16.3
Campbell,16.3
Clemson,16.3
Tulane,16.3
Detroit Mercy,16.2
Loyola Chi,16.2
TCU,16.2
Saint Joseph's,16.1
UAB,16.1
Lamar,16.1
Stanford,16.1
Wofford,16.1
Alabama St,16.1
UConn,16.1
Kansas St,16.1
Cleveland St,16.1
Columbia,16.0
Texas Tech,16.0
N Alabama,16.0
Mercer,16.0
Mt St Mary's,16.0
Davidson,16.0
Boston U,16.0
Niagara,16.0
The Citadel,16.0
Iowa,15.9
Little Rock,15.9
McNeese,15.9
Evansville,15.9
Presbyterian,15.9
J Madison,15.9
Hampton,15.9
Loyola MD,15.9
NC State,15.9
NC Greensboro,15.9
Albany,15.8
Jacksonville,15.8
Creighton,15.8
Quinnipiac,15.8
Lipscomb,15.8
Houston,15.8
Grambling,15.7
Santa Clara,15.7
Delaware,15.7
N Texas,15.7
Belmont,15.7
SE Missouri St,15.7
Louisiana,15.7
Loyola Mymt,15.6
Georgia So,15.6
NW State,15.6
Alcorn St,15.6
San Jose St,15.5
S Alabama,15.5
UL Monroe,15.5
Iona,15.5
Army,15.5
Saint Louis,15.5
Stonehill,15.5
Stony Brook,15.5
Nicholls,15.4
LIU,15.4
Fairfield,15.4
W Georgia,15.4
American,15.4
E Texas A&M,15.4
Rider,15.3
Old Dominion,15.3
Villanova,15.3
Jacksonville St,15.2
E Kentucky,15.2
Incarnate Word,15.2
Texas So,15.2
Hofstra,15.2
Northeastern,15.2
UMBC,15.1
Bellarmine,15.1
C Arkansas,15.1
Sacred Heart,15.1
Penn,15.1
