team,Seas_PPG
Iona,69.7
NC State,69.6
SIU Edward,69.6
S Indiana,69.6
Drexel,69.6
E Washington,69.6
Hampton,69.6
Penn,69.6
Towson,69.4
Mt St Mary's,69.3
Hawai'i,69.3
Alabama A&M,69.3
UNLV,69.2
Virginia Tech,69.2
VMI,69.1
Maine,69.0
Campbell,68.9
Florida A&M,68.8
Seattle,68.8
Loyola MD,68.7
Lehigh,68.7
Bethune,68.6
Binghamton,68.6
Holy Cross,68.6
Drake,68.5
C Arkansas,68.5
Little Rock,68.5
St Bonaventure,68.4
Duquesne,68.4
Harvard,68.3
Lindenwood,68.3
Utah Tech,68.2
West Virginia,68.2
Minnesota,68.1
Pacific,68.0
St Francis PA,68.0
NC A&T,67.9
Florida Intl,67.9
New Orleans,67.9
Weber St,67.9
Lafayette,67.8
W Georgia,67.8
American,67.8
Kansas City,67.7
New Mexico St,67.7
TCU,67.6
Abl Christian,67.6
N Texas,67.5
Missouri St,67.5
Lamar,67.4
N Illinois,67.4
Niagara,67.4
Old Dominion,67.4
Stonehill,67.3
W Carolina,67.1
Rider,67.0
S Utah,66.8
Fairfield,66.7
W Illinois,66.6
Detroit Mercy,66.3
UC Davis,66.2
UL Monroe,66.1
Coastal Car,66.0
Marist,66.0
Long Beach St,65.9
Wyoming,65.8
App State,65.8
Mercyhurst,65.8
Boston U,65.6
Stony Brook,65.6
Merrimack,65.6
Richmond,65.6
LIU,65.5
NW State,65.4
Alcorn St,65.3
Evansville,65.1
Louisiana,64.9
New Hampshire,64.9
Virginia,64.8
Canisius,64.8
Hou Christian,64.7
SF Austin,64.7
Vermont,64.5
Hofstra,64.5
Grambling,64.4
E Texas A&M,64.4
Saint Peter's,64.1
NJIT,63.9
Morehead St,63.7
E Illinois,63.5
Sacramento St,63.3
Maryland ES,63.3
The Citadel,63.0
Chicago St,62.5
CS Fullerton,62.3
Air Force,61.9
Seton Hall,61.6
Coppin St,61.3
Tarleton St,60.2
Wagner,57.5
Miss Valley St,52.4
