team,Seas_3PT_Rate
BYU,0.39799999999999996
S Indiana,0.397
Hawai'i,0.397
Virginia Tech,0.397
Baylor,0.396
N Iowa,0.396
SF Austin,0.396
Canisius,0.395
SE Louisiana,0.395
W Kentucky,0.39399999999999996
Ball St,0.39399999999999996
Pepperdine,0.392
Kentucky,0.392
Mercer,0.392
Auburn,0.392
Incarnate Word,0.391
DePaul,0.391
Seattle,0.39
NC Wilmington,0.389
Grand Canyon,0.389
S Dakota St,0.38799999999999996
UMBC,0.38799999999999996
Iowa St,0.38799999999999996
Saint Peter's,0.387
New Mexico St,0.387
Denver,0.386
Alabama St,0.385
Arizona St,0.384
FGCU,0.384
UC Riverside,0.38299999999999995
San Jose St,0.38299999999999995
Fordham,0.38299999999999995
Utah Tech,0.382
Lehigh,0.382
Florida Atlantic,0.382
Jacksonville St,0.381
Grambling,0.381
Ohio,0.381
Milwaukee,0.381
Charleston,0.381
Penn St,0.381
Austin Peay,0.38
E Tennessee St,0.37799999999999995
St Francis PA,0.37799999999999995
Northeastern,0.37799999999999995
Florida A&M,0.377
Albany,0.376
Columbia,0.375
Utah,0.375
Jacksonville,0.374
Green Bay,0.373
Holy Cross,0.373
Syracuse,0.37200000000000005
AR-Pine Bluff,0.37200000000000005
Florida,0.371
Manhattan,0.371
Hampton,0.371
Maine,0.37
Campbell,0.369
TCU,0.369
Valparaiso,0.368
Kansas City,0.368
N Arizona,0.36700000000000005
S Alabama,0.366
Tenn Tech,0.365
Hou Christian,0.365
Michigan St,0.364
Brown,0.363
Wagner,0.36200000000000004
Old Dominion,0.36200000000000004
SIU Edward,0.36200000000000004
Texas,0.36200000000000004
Missouri,0.361
W Michigan,0.361
Saint Mary's,0.361
SMU,0.36
SE Missouri St,0.36
Yale,0.36
Sam Houston,0.36
South Dakota,0.359
UNLV,0.359
UCLA,0.359
Oklahoma St,0.359
Temple,0.35700000000000004
Kansas,0.35700000000000004
SC Upstate,0.35600000000000004
Sacramento St,0.35600000000000004
Mississippi,0.355
S Utah,0.355
George Mason,0.354
Fairfield,0.354
Portland,0.354
UMass,0.354
Pacific,0.353
Georgetown,0.35200000000000004
Coppin St,0.35200000000000004
Morgan St,0.35200000000000004
Colorado,0.35100000000000003
McNeese,0.35100000000000003
Colgate,0.35
Penn,0.35
Butler,0.349
Towson,0.349
C Connecticut,0.349
Longwood,0.348
Long Beach St,0.348
E Washington,0.34700000000000003
Rutgers,0.34600000000000003
Washington,0.34600000000000003
Marist,0.34600000000000003
LSU,0.345
Portland St,0.344
UCF,0.344
Monmouth,0.344
Howard,0.34299999999999997
Bowling Green,0.342
Wichita St,0.341
USC,0.341
C Michigan,0.34
Oakland,0.34
Alabama A&M,0.34
Northwestern,0.34
Lamar,0.33899999999999997
NW State,0.33899999999999997
NC Central,0.33899999999999997
St John's,0.33799999999999997
San Diego St,0.33799999999999997
New Orleans,0.337
Alcorn St,0.337
Quinnipiac,0.337
Memphis,0.337
Wright St,0.337
N Alabama,0.337
NC Asheville,0.336
CS Northridge,0.336
Maryland ES,0.335
Louisiana Tech,0.33399999999999996
Arkansas,0.33399999999999996
W Illinois,0.33299999999999996
S Carolina St,0.33299999999999996
Georgia Tech,0.332
Navy,0.331
Illinois Chicago,0.33
W Georgia,0.33
Abl Christian,0.32799999999999996
Weber St,0.32799999999999996
Florida Intl,0.327
Utah Valley,0.327
NC A&T,0.327
Toledo,0.325
Texas So,0.325
Nevada,0.32299999999999995
N Texas,0.32299999999999995
Southern,0.322
Cal Baptist,0.321
Siena,0.319
E Michigan,0.318
Tennessee,0.317
Miami,0.317
La Salle,0.315
Texas A&M-CC,0.314
St Bonaventure,0.313
UMass Lowell,0.313
E Carolina,0.311
Mercyhurst,0.311
Little Rock,0.31
Gonzaga,0.31
Prairie View,0.309
Binghamton,0.309
Chicago St,0.309
Detroit Mercy,0.307
Tennessee St,0.307
UT Arlington,0.307
Lindenwood,0.307
Norfolk St,0.306
Morehead St,0.305
UAB,0.305
Miss Valley St,0.302
E Illinois,0.299
Bethune,0.297
S Illinois,0.292
LIU,0.29
CS Bakersfield,0.289
Delaware St,0.289
Southern Miss,0.287
UC Irvine,0.282
Presbyterian,0.28
Rider,0.275
Arizona,0.268
Seton Hall,0.268
Texas St,0.24600000000000002
Tarleton St,0.242
