team,Seas_Def_Rebound_Per
Air Force,0.703
Stony Brook,0.703
LIU,0.703
Albany,0.703
La Salle,0.703
Arkansas,0.703
Sacred Heart,0.7020000000000001
Drake,0.7020000000000001
Rutgers,0.7020000000000001
Portland,0.7020000000000001
Baylor,0.701
Southern,0.701
Chattanooga,0.701
Mississippi,0.701
Niagara,0.701
UT Martin,0.701
N Kentucky,0.701
Villanova,0.701
Bucknell,0.701
Troy,0.7
High Point,0.7
Loyola Mymt,0.7
NJIT,0.7
Delaware,0.7
Oral Roberts,0.7
Indiana St,0.7
N Alabama,0.7
E Kentucky,0.6990000000000001
Queens,0.6990000000000001
Utah St,0.6990000000000001
S Alabama,0.6990000000000001
Penn St,0.698
NC Asheville,0.698
Missouri St,0.698
Tenn Tech,0.698
The Citadel,0.6970000000000001
USC,0.6970000000000001
Denver,0.6970000000000001
Hou Christian,0.6970000000000001
Alabama,0.696
Virginia Tech,0.695
William & Mary,0.695
Oregon,0.695
Quinnipiac,0.6940000000000001
Liberty,0.6940000000000001
Oklahoma,0.6940000000000001
UCLA,0.6940000000000001
Santa Clara,0.693
Oregon St,0.693
Rice,0.693
Illinois Chicago,0.6920000000000001
Charlotte,0.6920000000000001
Grambling,0.6920000000000001
Stetson,0.6920000000000001
Lehigh,0.6920000000000001
Ohio,0.6920000000000001
NW State,0.691
South Carolina,0.69
E Carolina,0.69
Norfolk St,0.69
Syracuse,0.69
Sacramento St,0.69
North Dakota,0.6890000000000001
Delaware St,0.688
Texas A&M,0.688
S Indiana,0.6859999999999999
E Texas A&M,0.6859999999999999
Elon,0.685
Monmouth,0.685
Maine,0.685
Marshall,0.685
Wake Forest,0.685
Campbell,0.684
UTEP,0.684
Florida Intl,0.684
New Orleans,0.6829999999999999
McNeese,0.6829999999999999
Mercer,0.6829999999999999
Maryland ES,0.6829999999999999
Rider,0.682
S Utah,0.682
St Francis PA,0.6809999999999999
Georgia St,0.68
Nicholls,0.68
Marquette,0.68
N Arizona,0.6779999999999999
Arizona St,0.6779999999999999
Georgia,0.677
Northwestern,0.677
Oakland,0.6759999999999999
CS Bakersfield,0.6759999999999999
Pepperdine,0.674
Utah Tech,0.674
Morgan St,0.674
Purdue FW,0.6729999999999999
Toledo,0.672
Georgia So,0.6709999999999999
C Michigan,0.6709999999999999
Kansas St,0.6709999999999999
Florida St,0.6709999999999999
Chicago St,0.6709999999999999
Coppin St,0.669
Memphis,0.669
Morehead St,0.667
Saint Peter's,0.6659999999999999
E Illinois,0.6659999999999999
Tulane,0.664
AR-Pine Bluff,0.664
Bellarmine,0.664
Prairie View,0.664
Alcorn St,0.662
San Diego,0.66
Tarleton St,0.659
Miss Valley St,0.657
W Illinois,0.655
Kansas City,0.653
UL Monroe,0.6509999999999999
San Jose St,0.65
IU Indy,0.65
Cleveland St,0.647
Little Rock,0.6459999999999999
VMI,0.6459999999999999
Gardner-Webb,0.638
Jackson St,0.638
N Florida,0.636
Manhattan,0.633
S Carolina St,0.632
UTSA,0.627
NC Central,0.619
Merrimack,0.608
