team,seed,contender_tier,AdjEM,AdjO,AdjD,adjem_rank,adjo_rank,adjd_rank,Seas_PPG,Seas_Off_Rebound_Per,Seas_Turnovers,Seas_3PT_Per,seas_ppg_rank,off_rebound_rank,turnover_rank,three_point_rank,secondary_support_count,secondary_supports,risk_flags,meta_points,meta_finish,meta_semifinal,meta_championship
Ohio St,8,fade,22.24,124.3,102.1,26,16,38,79.8,0.2789999999999999,10.4,0.36,37,58,22,21,0,,"outside_top_20_adjem,outside_top_25_defense",2.095431865567583,1.917117944918573,0.009599057026207447,1.6996600685005562e-05
Troy,13,fade,1.72,110.7,109.0,56,54,58,78.3,0.33,11.9,0.332,44,25,57,60,0,,"outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense,loose_turnover_profile",0.2408120670959301,1.0921814043540508,0.0017972043715417385,1.4517709849079482e-05
Missouri,10,fade,15.39,119.5,104.1,44,39,43,79.7,0.327,12.4,0.35,39,29,63,38,0,,"outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense,loose_turnover_profile",1.312849599268002,1.5424056709744036,0.003626992693170905,1.3944221589365056e-05
Prairie View,16,fade,-10.69,101.2,111.9,68,68,66,75.7,0.244,11.7,0.332,55,64,54,60,0,,"outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense,loose_turnover_profile",0.023671747000283898,1.0542779408860952,0.0030094534158706665,1.379404929984009e-05
TCU,9,fade,17.59,115.4,97.8,41,49,17,78.3,0.3229999999999999,10.9,0.331,44,34,40,63,0,,"outside_top_20_adjem,outside_top_20_offense",1.8073092094284244,1.7897784357191995,0.00047083539539016783,1.3571072288124728e-05
Furman,15,fade,-1.98,107.5,109.4,63,61,60,75.1,0.295,12.0,0.3329999999999999,59,47,59,59,0,,"outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense,loose_turnover_profile",0.07372927634948283,1.147594810812734,0.0016262060962617397,9.251338950329496e-06
Utah St,9,fade,20.76,122.1,101.4,30,25,33,81.7,0.311,10.6,0.351,27,41,29,36,0,,"outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense",3.246648812321967,2.4704120233654976,0.006000264547765255,5.847410947456847e-06
Idaho,15,fade,1.53,108.8,107.3,57,58,55,76.7,0.255,10.4,0.345,54,62,22,48,0,,"outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense",0.08989326595396054,1.0404973356053233,0.001882681273855269,5.285973843224183e-06
Hawaii,13,fade,5.97,107.1,101.2,53,63,31,78.7,0.291,13.8,0.316,43,51,67,65,0,,"outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense,loose_turnover_profile",0.308104250079679,1.1122614772757515,0.00852109119296074,4.838684027217019e-06
Kentucky,7,fade,21.48,120.5,99.0,28,32,20,80.8,0.325,10.5,0.341,32,32,24,51,0,,"outside_top_20_adjem,outside_top_20_offense",2.4353605859178367,2.0030253222212195,0.0009812929201871157,4.603123453785296e-06
Howard,16,fade,-3.19,103.1,106.3,65,66,53,75.0,0.3339999999999999,13.8,0.347,60,24,67,45,0,,"outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense,loose_turnover_profile",0.07792503189080487,1.0495996878598817,0.0013920478522777557,2.9676075767268992e-06
