team_rank,team,seed,team_strength_score,AdjEM,AdjO,AdjD,adjem_rank,adjo_rank,adjd_rank,meta_points,meta_finish,meta_round_of_64,meta_round_of_32,meta_sweet_sixteen,meta_elite_eight,meta_semifinal,meta_championship,Seas_PPG,Seas_Off_Rebound_Per,Seas_Turnovers,Seas_3PT_Per
29,Utah St,9,50.06217599745192,20.76,122.1,101.4,30,25,33,3.246648812321967,2.4704120233654976,0.8095861157524556,0.29877475,0.16956479818315498,0.025139553,0.0060002645,5.847410947456847e-06,81.7,0.311,10.6,0.351
30,Georgia,8,48.92296188100945,20.48,124.7,104.2,32,15,44,3.773974163609479,2.328443859703839,0.7101499853886214,0.2795139,0.06704060855614022,0.026174197,0.0022784327,3.507191445562699e-05,89.8,0.3289999999999999,10.7,0.341
31,Iowa,9,48.870241904058076,22.44,121.7,99.3,25,28,22,1.8971350931613216,2.033078130800277,0.6574702625767811,0.20349543,0.08330530224749397,0.013100022,0.0045174374,8.187389861206367e-05,75.2,0.282,9.7,0.357
32,Kentucky,7,47.82635217954687,21.48,120.5,99.0,28,32,20,2.4353605859178367,2.0030253222212195,0.6872702317952193,0.2021196,0.03532792734908879,0.010924676,0.0009812929,4.603123453785296e-06,80.8,0.325,10.5,0.341
33,Ohio St,8,47.81825430598108,22.24,124.3,102.1,26,16,38,2.095431865567583,1.917117944918573,0.6901986111658589,0.12949246,0.043814708968990396,0.014995789,0.009599057,1.6996600685005562e-05,79.8,0.2789999999999999,10.4,0.36
34,Santa Clara,10,44.37326669912592,19.4,123.6,104.2,35,21,44,3.3040402141360983,2.072422449942678,0.7186660245312633,0.08121903,0.030298854792893466,0.03612786,0.0039737113,1.7169454136479532e-05,82.8,0.35,10.9,0.349
35,NC State,11,41.61288834887298,19.6,124.1,104.5,34,17,46,1.6115340883736153,1.649024830199778,0.5661858176787503,0.20145911,0.028743856120722156,0.017190786,0.0042559206,1.1417932486633168e-05,83.7,0.2689999999999999,9.2,0.3879999999999999
36,St Louis,9,38.90038109282043,18.32,119.5,101.2,39,39,31,1.9198155485642263,1.9091954743489623,0.46493904857855395,0.13074516,0.07690126315448793,0.03364918,0.004228396,2.583154118876062e-05,86.4,0.293,12.5,0.405
37,Texas A&M,10,38.589642387979254,18.67,119.7,101.0,38,38,30,1.9473702981945717,1.6198085626820102,0.6055509725333776,0.07908674,0.019053126172451616,0.026196994,0.0014177231,9.226799795841085e-06,87.7,0.298,10.8,0.362
38,TCU,9,37.63093516703387,17.59,115.4,97.8,41,49,17,1.8073092094284244,1.7897784357191995,0.6030789739804008,0.11553624,0.06081204096589817,0.004153176,0.0004708354,1.3571072288124728e-05,78.3,0.3229999999999999,10.9,0.331
39,Clemson,8,37.11239170367708,19.24,116.5,97.3,36,47,16,1.3774099055842601,1.556318256421946,0.5935437787129746,0.06425315,0.03056679233673757,0.0033573154,0.000949483,9.751356403911375e-06,74.1,0.264,9.4,0.341
40,Texas,11,36.89688211061657,19.03,125.0,105.9,37,12,50,1.1024411943750916,1.3873355600517243,0.30167444432649027,0.1975128,0.037709569903535245,0.0032844765,0.003010657,2.063859987953277e-05,82.6,0.3429999999999999,10.6,0.349
41,UCF,10,34.95993173320345,15.04,120.5,105.4,45,32,49,2.5286062701568675,1.7263144259341061,0.7146546417251491,0.070087284,0.01930915960477923,0.034994602,0.010820929,3.642233440965709e-05,81.0,0.327,11.2,0.362
42,SMU,11,34.18610205094516,18.09,122.9,104.8,40,23,47,1.409954660489383,1.2488888347288594,0.47840804818545585,0.1049365,0.007736916173719064,0.013066437,0.003625721,6.434397482345858e-06,84.2,0.3279999999999999,11.3,0.374
43,VCU,11,33.81409368963156,17.21,119.9,102.7,42,37,41,1.453325063593703,1.5647079799091443,0.39790441180957953,0.06886491,0.02322148030166253,0.01567031,0.0011000225,7.670750548863055e-06,81.6,0.313,10.5,0.367
44,South Florida,11,32.454014724069175,16.39,117.3,100.9,43,44,29,1.4224459567704477,1.3896346939727664,0.29982948531207226,0.044579975,0.021384109742485283,0.003713235,0.0013525486,1.5802841782597405e-06,87.0,0.356,11.3,0.331
45,Missouri,10,30.885198726331797,15.39,119.5,104.1,44,39,43,1.312849599268002,1.5424056709744036,0.48550767550273416,0.07696582,0.06297881035005415,0.0037323586,0.0036269927,1.3944221589365056e-05,79.7,0.327,12.4,0.35
46,McNeese,12,28.103447533566467,12.48,114.3,101.8,47,51,35,1.1679039482487286,1.5626828008098528,0.4741647968567702,0.053509675,0.008476852501252009,0.002450045,0.002603652,1.1281513245020898e-05,76.8,0.336,9.6,0.316
47,Akron,12,27.77097106234261,12.8,118.8,106.0,46,41,52,1.2704941809341326,1.5221375550609082,0.23509460918118535,0.07145398,0.03354335634767434,0.03824336,0.0013707,1.0578147171170366e-05,86.9,0.327,11.1,0.385
48,Northern Iowa,12,25.513144800251325,11.81,110.0,98.2,48,56,18,0.20353167953243215,1.3129365313216113,0.1268973182391444,0.023624027,0.020993055293880354,0.00071144523,0.0010072663,1.5532180409231702e-05,69.1,0.198,9.3,0.349
49,Hofstra,13,23.20596340564178,9.49,114.6,105.1,49,50,48,0.3803398936133482,1.4055365775711834,0.06210385097025289,0.022543637,0.026382565030894124,0.009776991,0.0010811089,4.832835036280962e-06,74.5,0.336,10.6,0.368
50,High Point,12,21.800290512665434,8.4,117.0,108.6,50,45,57,0.45921430041137445,1.3414240131387487,0.11486521641784417,0.011164704,0.004667346921759032,0.002765687,0.0015139024,2.1396448521388472e-06,86.5,0.307,9.3,0.344
