round_index,round_name,game_number,team_left,left_seed,team_right,right_seed,left_win_probability,right_win_probability,picked_winner,favorite_team,favorite_seed,favorite_win_probability,underdog_team,underdog_seed,underdog_win_probability,seed_gap,upset_level,upset_flag
3,sweet_sixteen,2,Illinois,3,Houston,2,0.20165301093579607,0.7983469890642039,Houston,Houston,2,0.7983469890642039,Illinois,3,0.20165301093579607,1,,False
4,elite_eight,1,Florida,1,Houston,2,0.3260449645734874,0.6739550354265126,Houston,Florida,1,0.3260449645734874,Houston,2,0.6739550354265126,1,strong,True
0,first_four,1,NC State,11,Texas,11,0.7323087687491073,0.26769123125089267,NC State,,11,0.7323087687491073,,11,0.0,0,same_seed,False
1,round_of_64,1,Arizona,1,Long Island Brooklyn,16,0.999620148175971,0.0003798518240289983,Arizona,Arizona,1,0.999620148175971,Long Island Brooklyn,16,0.0003798518240289983,15,,False
1,round_of_64,2,Villanova,8,Utah St,9,0.6896557900380297,0.3103442099619703,Villanova,Villanova,8,0.6896557900380297,Utah St,9,0.3103442099619703,1,,False
1,round_of_64,3,Wisconsin,5,High Point,12,0.9926651814650581,0.007334818534941889,Wisconsin,Wisconsin,5,0.9926651814650581,High Point,12,0.007334818534941889,7,,False
1,round_of_64,4,Arkansas,4,Hawaii,13,0.9983074473015511,0.0016925526984489236,Arkansas,Arkansas,4,0.9983074473015511,Hawaii,13,0.0016925526984489236,9,,False
1,round_of_64,5,BYU,6,NC State,11,0.6688147613121747,0.33118523868782535,BYU,BYU,6,0.6688147613121747,NC State,11,0.33118523868782535,5,,False
1,round_of_64,6,Gonzaga,3,Kennesaw St.,14,0.9987437766604366,0.0012562233395634337,Gonzaga,Gonzaga,3,0.9987437766604366,Kennesaw St.,14,0.0012562233395634337,11,,False
1,round_of_64,7,Miami FL,7,Missouri,10,0.7834688595871964,0.21653114041280364,Miami FL,Miami FL,7,0.7834688595871964,Missouri,10,0.21653114041280364,3,,False
1,round_of_64,8,Purdue,2,Queens,15,0.9992503386311574,0.0007496613688425802,Purdue,Purdue,2,0.9992503386311574,Queens,15,0.0007496613688425802,13,,False
2,round_of_32,1,Arizona,1,Villanova,8,0.8972602473050562,0.10273975269494384,Arizona,Arizona,1,0.8972602473050562,Villanova,8,0.10273975269494384,7,,False
2,round_of_32,2,Wisconsin,5,Arkansas,4,0.20708760143229532,0.7929123985677047,Arkansas,Arkansas,4,0.7929123985677047,Wisconsin,5,0.20708760143229532,1,,False
2,round_of_32,3,BYU,6,Gonzaga,3,0.2680488731368046,0.7319511268631954,Gonzaga,Gonzaga,3,0.7319511268631954,BYU,6,0.2680488731368046,3,,False
2,round_of_32,4,Miami FL,7,Purdue,2,0.07661328282345042,0.9233867171765495,Purdue,Purdue,2,0.9233867171765495,Miami FL,7,0.07661328282345042,5,,False
3,sweet_sixteen,1,Arizona,1,Arkansas,4,0.7248370383539389,0.27516296164606113,Arizona,Arizona,1,0.7248370383539389,Arkansas,4,0.27516296164606113,3,,False
3,sweet_sixteen,2,Gonzaga,3,Purdue,2,0.21501056064746213,0.7849894393525378,Purdue,Purdue,2,0.7849894393525378,Gonzaga,3,0.21501056064746213,1,,False
4,elite_eight,1,Arizona,1,Purdue,2,0.6820229799117071,0.31797702008829287,Arizona,Arizona,1,0.6820229799117071,Purdue,2,0.31797702008829287,1,,False
5,final_four,1,Duke,1,Houston,2,0.757709602902404,0.24229039709759603,Duke,Duke,1,0.757709602902404,Houston,2,0.24229039709759603,1,,False
5,final_four,1,Arizona,1,Michigan,1,0.1644161156470147,0.8355838843529853,Michigan,,1,0.8355838843529853,,1,0.0,0,same_seed,False
6,championship,1,Duke,1,Michigan,1,0.4363367319165727,0.5636632680834273,Michigan,,1,0.5636632680834273,,1,0.0,0,same_seed,False
