team,seed,region,play_in_group,expected_wins,win_first_four,make_round_of_64,make_round_of_32,make_sweet_sixteen,make_elite_eight,make_final_four,make_championship,win_championship,win_round_of_64,win_round_of_32,win_sweet_sixteen,win_elite_eight,win_final_four,field_source
Howard,16,Midwest,Midwest-16,0.2741,0.2741,0.2741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data/raw/2026/tournament_field.csv
Clemson,8,South,,0.2667,0.0,1.0,0.2631,0.0034,0.0002,0.0,0.0,0.0,0.2631,0.0034,0.0002,0.0,0.0,data/raw/2026/tournament_field.csv
Missouri,10,West,,0.2276,0.0,1.0,0.2217,0.0053,0.0006,0.0,0.0,0.0,0.2217,0.0053,0.0006,0.0,0.0,data/raw/2026/tournament_field.csv
Prairie View,16,South,South-16,0.213,0.213,0.213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data/raw/2026/tournament_field.csv
St Louis,9,Midwest,,0.1862,0.0,1.0,0.186,0.0002,0.0,0.0,0.0,0.0,0.186,0.0002,0.0,0.0,0.0,data/raw/2026/tournament_field.csv
VCU,11,South,,0.175,0.0,1.0,0.1701,0.0048,0.0001,0.0,0.0,0.0,0.1701,0.0048,0.0001,0.0,0.0,data/raw/2026/tournament_field.csv
South Florida,11,East,,0.1006,0.0,1.0,0.0848,0.0153,0.0005,0.0,0.0,0.0,0.0848,0.0153,0.0005,0.0,0.0,data/raw/2026/tournament_field.csv
Miami OH,11,Midwest,Midwest-11,0.0969,0.0946,0.0946,0.0023,0.0,0.0,0.0,0.0,0.0,0.0023,0.0,0.0,0.0,0.0,data/raw/2026/tournament_field.csv
McNeese,12,South,,0.048,0.0,1.0,0.0445,0.0034,0.0001,0.0,0.0,0.0,0.0445,0.0034,0.0001,0.0,0.0,data/raw/2026/tournament_field.csv
N Dakota St,14,East,,0.036,0.0,1.0,0.0352,0.0008,0.0,0.0,0.0,0.0,0.0352,0.0008,0.0,0.0,0.0,data/raw/2026/tournament_field.csv
Akron,12,Midwest,,0.0236,0.0,1.0,0.0218,0.0018,0.0,0.0,0.0,0.0,0.0218,0.0018,0.0,0.0,0.0,data/raw/2026/tournament_field.csv
Cal Baptist,13,East,,0.0206,0.0,1.0,0.0202,0.0004,0.0,0.0,0.0,0.0,0.0202,0.0004,0.0,0.0,0.0,data/raw/2026/tournament_field.csv
Hofstra,13,Midwest,,0.0102,0.0,1.0,0.0102,0.0,0.0,0.0,0.0,0.0,0.0102,0.0,0.0,0.0,0.0,data/raw/2026/tournament_field.csv
High Point,12,West,,0.0072,0.0,1.0,0.0072,0.0,0.0,0.0,0.0,0.0,0.0072,0.0,0.0,0.0,0.0,data/raw/2026/tournament_field.csv
Northern Iowa,12,East,,0.0064,0.0,1.0,0.0064,0.0,0.0,0.0,0.0,0.0,0.0064,0.0,0.0,0.0,0.0,data/raw/2026/tournament_field.csv
Wright St,14,Midwest,,0.0044,0.0,1.0,0.0044,0.0,0.0,0.0,0.0,0.0,0.0044,0.0,0.0,0.0,0.0,data/raw/2026/tournament_field.csv
Troy,13,South,,0.0034,0.0,1.0,0.0034,0.0,0.0,0.0,0.0,0.0,0.0034,0.0,0.0,0.0,0.0,data/raw/2026/tournament_field.csv
Pennsylvania,14,South,,0.0034,0.0,1.0,0.0033,0.0001,0.0,0.0,0.0,0.0,0.0033,0.0001,0.0,0.0,0.0,data/raw/2026/tournament_field.csv
Kennesaw St.,14,West,,0.0017,0.0,1.0,0.0017,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.0,0.0,0.0,data/raw/2026/tournament_field.csv
Tennessee St,15,Midwest,,0.0016,0.0,1.0,0.0015,0.0001,0.0,0.0,0.0,0.0,0.0015,0.0001,0.0,0.0,0.0,data/raw/2026/tournament_field.csv
Hawaii,13,West,,0.0015,0.0,1.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,data/raw/2026/tournament_field.csv
Queens,15,West,,0.0011,0.0,1.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0011,0.0,0.0,0.0,0.0,data/raw/2026/tournament_field.csv
Furman,15,East,,0.0004,0.0,1.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,data/raw/2026/tournament_field.csv
Long Island Brooklyn,16,West,,0.0002,0.0,1.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,data/raw/2026/tournament_field.csv
Idaho,15,South,,0.0001,0.0,1.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,data/raw/2026/tournament_field.csv
Siena,16,East,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data/raw/2026/tournament_field.csv
