team_rank,team,seed,team_strength_score,AdjEM,AdjO,AdjD,adjem_rank,adjo_rank,adjd_rank,meta_points,meta_finish,meta_round_of_64,meta_round_of_32,meta_sweet_sixteen,meta_elite_eight,meta_semifinal,meta_championship,Seas_PPG,Seas_Off_Rebound_Per,Seas_Turnovers,Seas_3PT_Per
31,Baylor,9,47.028800477793176,20.83,121.3,100.4,30,16,44,2.8106347874568205,2.0950321764685214,0.7071903470108234,0.14419863,0.06464992348821841,0.011481735,0.0025490809,7.366070036219802e-06,75.2,0.3389999999999999,10.6,0.3429999999999999
32,Connecticut,8,46.651946758903215,20.18,121.6,101.4,32,15,49,2.873746467849001,2.302791427820921,0.5277675896168752,0.11348553,0.04153418390613829,0.009231363,0.0022326186,1.152062238912283e-05,77.0,0.346,11.1,0.348
33,Arkansas,10,44.7218487590654,19.33,114.4,95.1,36,45,17,1.7837041286812911,2.312157942680642,0.6550717514598513,0.40201744,0.07356475014504445,0.012428461,0.002315233,1.6795596342448524e-05,76.8,0.257,11.5,0.327
34,Mississippi St,8,44.20529128034565,20.02,118.9,98.8,33,22,35,2.1962133542522424,1.7066636524396017,0.6817185558807738,0.18712945,0.028786275393126382,0.00626984,0.000896838,9.436026040292802e-06,79.5,0.322,10.7,0.314
35,N Carolina,11,44.1658926024451,20.33,119.2,98.9,31,20,36,1.65252371568444,1.7142271547345445,0.5931191371303685,0.16155224,0.0230063996387612,0.0046961745,0.002461666,6.554700688557183e-06,80.7,0.255,10.7,0.356
36,VCU,11,38.7489085754327,19.53,116.0,96.5,34,39,24,2.0711062022387736,1.3441689210012555,0.4406675943434518,0.040981594,0.026702063670489388,0.0075694853,0.0033910254,9.647300532619294e-06,76.2,0.361,11.2,0.3379999999999999
37,Georgia,9,38.67529137097739,18.57,115.3,96.8,37,41,28,1.8868838624562092,1.639976981212385,0.6066361002751607,0.13532317,0.02251044990099994,0.0027482468,0.00081712386,3.1547351986660737e-06,75.3,0.3379999999999999,12.9,0.3289999999999999
38,New Mexico,10,37.89943175872409,17.78,112.9,95.1,40,51,17,1.1875415518032804,2.1581739929970354,0.5255278712834207,0.19979209,0.06241486020064106,0.0142634185,0.001605868,6.894480220215853e-06,79.3,0.288,11.4,0.34
39,Colorado St,12,36.311333369551186,17.61,116.8,99.2,41,35,38,1.4579127166899113,1.8836746038869023,0.49119656257335853,0.11114401,0.021974111380245045,0.009730023,0.0036982007,1.877699555272721e-05,75.2,0.253,11.5,0.363
40,Oklahoma,9,35.49879907142737,17.95,118.2,100.3,39,26,43,1.431124079642963,1.4051763520110399,0.5911554272407457,0.0652289,0.02457308704301721,0.013796623,0.0022741756,9.025313980796089e-06,78.3,0.252,12.1,0.365
41,Vanderbilt,10,33.79534740207546,16.23,117.8,101.6,44,29,50,1.5336678704284203,1.6473915944807231,0.5236947764866767,0.09329516,0.04634416432260825,0.01497471,0.0010510159,1.4402840354190889e-05,78.9,0.291,10.2,0.325
42,UC San Diego,12,33.474613122897985,18.25,115.0,96.7,38,43,26,1.1512254389742567,1.329271958093159,0.4601939142820492,0.112683795,0.016002776182501812,0.009483245,0.0041835154,1.0828714614816161e-05,77.5,0.23,9.0,0.361
43,Xavier,11,32.29880841241272,17.19,116.2,99.0,42,38,37,1.1782817704077841,1.3717777833808213,0.4651742489741631,0.13917302,0.021568129702574674,0.0078030196,0.0013700573,1.5586811709528435e-05,78.1,0.209,10.9,0.391
44,Memphis,5,32.218049255870355,15.1,113.4,98.3,47,50,33,2.270412422866931,1.5916327903978527,0.6393283918081842,0.05769151,0.031275192951819256,0.0069818855,0.0015387015,6.683309976758321e-05,79.9,0.341,13.9,0.376
45,Utah St,10,30.68377377050912,14.0,119.8,105.8,49,18,55,1.2712349156368863,1.4541455695871264,0.5023838999656544,0.028512422,0.02120781821765843,0.0036397392,0.0020328553,9.721114733270646e-06,78.8,0.322,10.8,0.349
46,Texas,11,30.291757664920937,16.9,117.3,100.4,43,33,44,0.8141891053515062,1.3915379350073636,0.3006898184730626,0.07770756,0.0532897097744283,0.013414396,0.0020648804,1.5837240205076998e-05,78.5,0.287,9.9,0.362
47,Drake,11,30.25476233016469,15.12,112.9,97.8,46,51,32,1.1707480619031103,1.7408791345078498,0.4575602429468448,0.054151405,0.008697221920428792,0.0075137094,0.0040074848,5.693674032068393e-06,68.5,0.351,11.2,0.356
48,San Diego St,11,29.951527261263607,15.13,109.8,94.6,45,58,15,0.6294152155219199,1.3927652323618531,0.4406110921946731,0.18473104,0.012637156993590413,0.012628082,0.008342738,2.7227308512967237e-06,69.8,0.268,11.2,0.326
49,McNeese,12,26.81072505947296,14.24,114.1,99.8,48,46,42,0.8469813763984689,1.475152717961464,0.31617864098002324,0.044023003,0.005140183737690524,0.0027412795,0.00078072486,4.1934894619510905e-06,74.7,0.337,10.7,0.352
50,Liberty,12,24.130816034621542,12.46,111.8,99.4,50,55,41,0.5623351949998778,1.5088624405907467,0.3678212989361549,0.10552732,0.011894139905885795,0.01478147,0.0033515557,6.01602137031276e-06,73.7,0.177,10.3,0.387
51,High Point,13,23.02139437300264,9.15,118.4,109.2,52,25,62,0.5319964151010201,1.317523234989494,0.10034672812529484,0.017394302,0.005582545438990558,0.015485398,0.0018880006,5.024480775568858e-06,81.2,0.322,10.3,0.366
52,Yale,13,18.693942231565135,11.02,115.2,104.2,51,42,53,0.31752977229411145,1.1110767876671162,0.07726849497883542,0.010192853,0.0015104823426121123,0.0062522944,0.0012427684,4.538125440252844e-06,80.7,0.302,10.0,0.384
53,Akron,13,18.564825636965494,6.47,113.6,107.1,55,49,59,0.709906375108348,1.274031208595261,0.15780461519093456,0.018612145,0.004784980227750727,0.06361963,0.008607833,3.957079200265825e-05,83.4,0.308,11.9,0.364
54,Lipscomb,14,17.82064228857386,8.55,112.0,103.5,53,54,52,0.41377749945817727,1.2039041399257258,0.08443451967578275,0.047132563,0.008959772789966633,0.014482243,0.001544205,4.428004844524731e-06,77.0,0.215,10.0,0.364
55,Troy,14,16.122133641065208,6.95,107.4,100.4,54,61,44,0.48543587292974094,1.0981532290461473,0.06722055893193231,0.01442158,0.001965862941031629,0.016468447,0.0063592605,6.138484923885608e-06,72.0,0.371,13.3,0.301
56,Grd Canyon,13,15.032749382050294,6.29,107.4,101.1,56,61,48,0.44539843482300534,1.1214897377649322,0.11356548728681196,0.008151883,0.0033997035341271696,0.0018452861,0.0043282458,0.00010792401517403482,77.6,0.304,13.4,0.313
57,UNC Wilmington,14,14.302117858641521,5.28,112.2,106.9,57,53,58,0.3480253091394767,1.1704220320098102,0.06153834579703986,0.018571444,0.005491357319327373,0.0017769946,0.0053886194,1.2329516966732724e-05,76.6,0.344,10.8,0.3279999999999999
58,Wofford,15,11.974672636852121,4.24,113.9,109.7,58,48,64,0.12126606960474864,1.127251341153169,0.020263522982900718,0.03146756,0.010950892941930914,0.004724621,0.0006281892,5.508102782153289e-06,73.1,0.336,11.0,0.348
59,Robert Morris,15,11.149959996902739,2.9,107.5,104.6,59,59,54,0.3857855750822039,1.0698338483925909,0.06699615341718,0.010271781,0.005068822313781872,0.0024666898,0.0037881017,8.481500004753376e-06,76.9,0.347,12.7,0.346
60,Montana,14,10.332918447059741,0.07,110.6,110.6,61,57,66,0.26456881539210264,1.1790865208022296,0.11194052978077555,0.02010071,0.0026188019638354355,0.0073753498,0.0148804225,3.5441753613641714e-05,75.2,0.1969999999999999,10.9,0.363
61,Bryant,15,8.417351395788604,0.92,106.8,105.8,60,63,55,0.18054490547802574,1.0334860772418324,0.020348387835686287,0.01300338,0.0038095111620949276,0.0042088157,0.0008518111,1.7816110143095e-05,79.8,0.3279999999999999,12.0,0.33
62,Norfolk St,16,7.97736260081673,-1.63,107.5,109.1,63,59,61,0.13562124242962717,1.0844550498295575,0.02573277894420477,0.03892826,0.01571231510253127,0.0052878484,0.02033258,0.00020855765089252643,74.7,0.298,12.4,0.308
63,Omaha,15,6.748832239719207,-0.06,111.0,111.1,62,56,67,0.122983406519297,1.0614458617055789,0.024239308388317088,0.010019666,0.002445183277774939,0.0053504887,0.012999231,1.3588770704267886e-05,77.0,0.283,10.8,0.356
64,Mount St Marys,16,5.7922457879751015,-6.34,100.9,107.3,65,67,60,0.12178432192250366,1.0990243988344446,0.01835723259542512,0.016947962,0.0006263483465480869,0.0041987076,0.006718103,5.998898826569381e-06,69.3,0.281,14.7,0.345
65,SIUE,16,5.760315797319522,-4.5,101.8,106.3,64,65,57,0.07403473572597537,1.089182777039241,0.011881388198116412,0.01975014,0.002900343712656755,0.006398866,0.0067354124,6.381547431489104e-06,69.6,0.284,11.6,0.331
66,American,16,3.8721635340263987,-6.65,102.5,109.2,66,64,62,0.07856354634114256,1.0705236864741892,0.012584588495082231,0.005691115,0.0010855407014429255,0.0041269916,0.004610082,1.2769524328833548e-05,67.8,0.222,10.8,0.352
67,Alabama St,16,3.0194477700617375,-8.87,101.5,110.4,67,66,65,0.033032101222913994,1.0900640498148277,0.004216735430272041,0.017574966,0.008632424493142728,0.007890043,0.0061676386,3.3136437139820098e-06,71.9,0.256,9.1,0.326
68,St Francis PA,16,0.8718674920377444,-12.76,99.7,112.5,68,68,68,0.021756682682877195,1.071494594682008,0.0019964325456193,0.015257138,0.0020898092007106284,0.0028197125,0.0061942437,5.998898826569381e-06,68.0,0.2339999999999999,13.3,0.3379999999999999
