round_index,round_name,game_number,team_left,left_seed,team_right,right_seed,left_win_probability,right_win_probability,picked_winner,favorite_team,favorite_seed,favorite_win_probability,underdog_team,underdog_seed,underdog_win_probability,seed_gap,upset_level,upset_flag
1,round_of_64,2,Gonzaga,8,Georgia,9,0.8496839600110667,0.15031603998893328,Gonzaga,Gonzaga,8,0.8496839600110667,Georgia,9,0.15031603998893328,1,,False
1,round_of_64,3,Clemson,5,McNeese,12,0.8080627765674676,0.1919372234325324,Clemson,Clemson,5,0.8080627765674676,McNeese,12,0.1919372234325324,7,,False
1,round_of_64,4,Purdue,4,High Point,13,0.9835606685466474,0.016439331453352635,Purdue,Purdue,4,0.9835606685466474,High Point,13,0.016439331453352635,9,,False
1,round_of_64,5,Illinois,6,Xavier,11,0.8391366112762512,0.16086338872374883,Illinois,Illinois,6,0.8391366112762512,Xavier,11,0.16086338872374883,5,,False
1,round_of_64,6,Kentucky,3,Troy,14,0.9746069401098534,0.02539305989014662,Kentucky,Kentucky,3,0.9746069401098534,Troy,14,0.02539305989014662,11,,False
1,round_of_64,7,UCLA,7,Utah St,10,0.8769167795029308,0.12308322049706921,UCLA,UCLA,7,0.8769167795029308,Utah St,10,0.12308322049706921,3,,False
1,round_of_64,8,Tennessee,2,Wofford,15,0.9990677309504934,0.0009322690495066066,Tennessee,Tennessee,2,0.9990677309504934,Wofford,15,0.0009322690495066066,13,,False
2,round_of_32,1,Houston,1,Gonzaga,8,0.931426342972985,0.06857365702701501,Houston,Houston,1,0.931426342972985,Gonzaga,8,0.06857365702701501,7,,False
2,round_of_32,2,Clemson,5,Purdue,4,0.20198994900201372,0.7980100509979863,Purdue,Purdue,4,0.7980100509979863,Clemson,5,0.20198994900201372,1,,False
2,round_of_32,3,Illinois,6,Kentucky,3,0.49286990332689007,0.5071300966731099,Kentucky,Kentucky,3,0.5071300966731099,Illinois,6,0.49286990332689007,3,strong,True
2,round_of_32,4,UCLA,7,Tennessee,2,0.085899875599803,0.914100124400197,Tennessee,Tennessee,2,0.914100124400197,UCLA,7,0.085899875599803,5,,False
3,sweet_sixteen,1,Houston,1,Purdue,4,0.9342276655972772,0.06577233440272279,Houston,Houston,1,0.9342276655972772,Purdue,4,0.06577233440272279,3,,False
3,sweet_sixteen,2,Kentucky,3,Tennessee,2,0.09483318255143,0.90516681744857,Tennessee,Tennessee,2,0.90516681744857,Kentucky,3,0.09483318255143,1,,False
4,elite_eight,1,Houston,1,Tennessee,2,0.6744199131722788,0.3255800868277212,Houston,Houston,1,0.6744199131722788,Tennessee,2,0.3255800868277212,1,,False
1,round_of_64,1,Auburn,1,Alabama St,16,0.999931447230492,6.855276950801237e-05,Auburn,Auburn,1,0.999931447230492,Alabama St,16,6.855276950801237e-05,15,,False
1,round_of_64,2,Louisville,8,Creighton,9,0.4576373394707644,0.5423626605292355,Creighton,Louisville,8,0.4576373394707644,Creighton,9,0.5423626605292355,1,strong,True
1,round_of_64,3,Michigan,5,UC San Diego,12,0.9608444942029637,0.039155505797036305,Michigan,Michigan,5,0.9608444942029637,UC San Diego,12,0.039155505797036305,7,,False
1,round_of_64,4,Texas A&M,4,Yale,13,0.97459179027645,0.025408209723549957,Texas A&M,Texas A&M,4,0.97459179027645,Yale,13,0.025408209723549957,9,,False
1,round_of_64,5,Mississippi,6,N Carolina,11,0.7265761977885052,0.27342380221149476,Mississippi,Mississippi,6,0.7265761977885052,N Carolina,11,0.27342380221149476,5,,False
1,round_of_64,6,Iowa St,3,Lipscomb,14,0.9420073999012705,0.05799260009872953,Iowa St,Iowa St,3,0.9420073999012705,Lipscomb,14,0.05799260009872953,11,,False
1,round_of_64,7,Marquette,7,New Mexico,10,0.6169745191915177,0.3830254808084823,Marquette,Marquette,7,0.6169745191915177,New Mexico,10,0.3830254808084823,3,live,True
1,round_of_64,8,Michigan St,2,Bryant,15,0.9981688909233117,0.0018311090766882643,Michigan St,Michigan St,2,0.9981688909233117,Bryant,15,0.0018311090766882643,13,,False
2,round_of_32,1,Auburn,1,Creighton,9,0.9021929975687926,0.09780700243120743,Auburn,Auburn,1,0.9021929975687926,Creighton,9,0.09780700243120743,8,,False
2,round_of_32,2,Michigan,5,Texas A&M,4,0.8044078356774456,0.19559216432255444,Michigan,Texas A&M,4,0.19559216432255444,Michigan,5,0.8044078356774456,1,strong,True
2,round_of_32,3,Mississippi,6,Iowa St,3,0.7532240449532,0.24677595504680006,Mississippi,Iowa St,3,0.24677595504680006,Mississippi,6,0.7532240449532,3,strong,True
2,round_of_32,4,Marquette,7,Michigan St,2,0.11988376628134723,0.8801162337186528,Michigan St,Michigan St,2,0.8801162337186528,Marquette,7,0.11988376628134723,5,,False
3,sweet_sixteen,1,Auburn,1,Michigan,5,0.8260371603878724,0.17396283961212755,Auburn,Auburn,1,0.8260371603878724,Michigan,5,0.17396283961212755,4,,False
3,sweet_sixteen,2,Mississippi,6,Michigan St,2,0.2920210310659218,0.7079789689340782,Michigan St,Michigan St,2,0.7079789689340782,Mississippi,6,0.2920210310659218,4,,False
4,elite_eight,1,Auburn,1,Michigan St,2,0.7579058689865983,0.24209413101340171,Auburn,Auburn,1,0.7579058689865983,Michigan St,2,0.24209413101340171,1,,False
1,round_of_64,1,Florida,1,Norfolk St,16,0.9999738971319648,2.610286803517159e-05,Florida,Florida,1,0.9999738971319648,Norfolk St,16,2.610286803517159e-05,15,,False
