team,Seas_Poss
Belmont,68.6
Penn St,68.5
SE Missouri St,68.5
Maine,68.5
Liberty,68.5
South Dakota,68.5
Kansas,68.4
Stanford,68.4
N Texas,68.4
Rhode Island,68.4
Syracuse,68.4
SIU Edward,68.4
Morehead St,68.3
California,68.3
Delaware,68.3
Washington,68.3
App State,68.2
Texas So,68.2
Seton Hall,68.2
Arizona,68.2
CS Fullerton,68.2
S Dakota St,68.2
Georgia,68.1
Colorado,68.1
Stetson,68.1
Evansville,68.1
UTSA,68.1
Fordham,68.1
Xavier,68.1
Providence,68.1
Radford,68.1
Ohio St,68.0
Norfolk St,68.0
CS Northridge,68.0
Miami OH,67.9
N Colorado,67.9
Florida Intl,67.9
Morgan St,67.9
Duke,67.9
Troy,67.9
N Arizona,67.9
Florida A&M,67.8
St Fran (NY),67.8
Memphis,67.8
San Francisco,67.8
Purdue,67.7
Savannah St,67.7
McNeese,67.7
UCF,67.6
FGCU,67.6
Montana St,67.6
Grambling,67.5
St Bonaventure,67.5
Niagara,67.5
C Michigan,67.5
Marist,67.5
Villanova,67.5
George Mason,67.5
Oral Roberts,67.5
UC Riverside,67.4
Jackson St,67.4
Jacksonville,67.3
W Michigan,67.3
AR-Pine Bluff,67.3
Louisville,67.2
Georgetown,67.2
Milwaukee,67.2
High Point,67.1
Kansas City,67.1
Butler,67.1
IU Indy,67.1
Gonzaga,67.1
Colorado St,67.0
Illinois,67.0
Maryland ES,67.0
Temple,67.0
UNLV,67.0
UTEP,66.9
Akron,66.9
Montana,66.9
TCU,66.8
Saint Joseph's,66.8
Illinois Chicago,66.8
S Carolina St,66.8
N Kentucky,66.8
New Hampshire,66.8
South Carolina,66.8
La Salle,66.8
Ball St,66.7
Georgia Tech,66.7
Green Bay,66.7
Jacksonville St,66.7
Iowa,66.7
Marquette,66.7
NC State,66.7
Monmouth,66.6
Maryland,66.6
Canisius,66.6
Texas A&M,66.6
Rutgers,66.6
S Florida,66.6
Portland,66.5
Lafayette,66.5
Michigan St,66.5
Houston,66.5
Rider,66.5
Tulane,66.4
Howard,66.4
Illinois St,66.4
Georgia So,66.4
UMass Lowell,66.4
Grand Canyon,66.3
Wright St,66.3
Purdue FW,66.3
Oklahoma St,66.3
Nebraska,66.3
Coastal Car,66.3
Cornell,66.3
Alabama A&M,66.2
Fresno St,66.2
E Kentucky,66.2
Kentucky,66.2
Abl Christian,66.1
Boston College,66.1
Notre Dame,66.1
Bryant,66.1
Weber St,66.1
Florida Atlantic,66.1
Princeton,66.1
Mt St Mary's,66.1
N Illinois,66.1
Tulsa,66.0
Mississippi St,66.0
Rice,66.0
Bucknell,66.0
Georgia St,66.0
UT Rio Grande,66.0
Texas St,66.0
Vermont,65.9
Dayton,65.9
UMBC,65.9
SC Upstate,65.9
Virginia Tech,65.9
Creighton,65.9
C Connecticut,65.9
William & Mary,65.8
Saint Louis,65.8
J Madison,65.8
Holy Cross,65.8
Texas,65.7
Boston U,65.7
Hartford,65.7
San Diego,65.6
Idaho St,65.6
Stony Brook,65.6
UC Irvine,65.6
Loyola MD,65.5
Vanderbilt,65.5
Northeastern,65.5
Pepperdine,65.5
Bowling Green,65.4
Tennessee St,65.4
Nevada,65.4
UC Davis,65.4
UCSB,65.3
Texas A&M-CC,65.3
Valparaiso,65.3
Missouri,65.3
E Illinois,65.3
Miami,65.3
G Washington,65.1
Utah St,65.1
Chicago St,65.1
Texas Tech,65.0
Fairfield,65.0
San Jose St,65.0
Binghamton,65.0
Penn,65.0
UL Monroe,65.0
Clemson,64.9
Alabama,64.9
Kansas St,64.8
Sacramento St,64.8
Furman,64.8
SMU,64.8
St Francis PA,64.7
Florida,64.7
Loyola Mymt,64.7
Boise St,64.6
New Mexico St,64.6
Kent St,64.6
Baylor,64.6
Dartmouth,64.5
Mercer,64.5
NC A&T,64.5
Richmond,64.4
UT Martin,64.4
Cleveland St,64.4
Pacific,64.3
Middle Tenn,64.3
Towson,64.3
Southern Miss,64.3
Utah,64.2
Yale,64.2
Saint Mary's,64.1
Presbyterian,64.1
New Mexico,64.1
Campbell,64.1
Wichita St,63.9
E Carolina,63.8
Seattle,63.8
Oregon St,63.8
UConn,63.7
Harvard,63.7
Pittsburgh,63.7
Charleston,63.6
N Dakota St,63.6
Saint Peter's,63.5
Drexel,63.4
Wofford,63.4
Missouri St,63.3
Northwestern,63.3
CS Bakersfield,63.2
Bradley,63.2
Tennessee,63.2
Michigan,63.2
Old Dominion,63.1
S Illinois,63.1
Utah Valley,63.1
San Diego St,63.0
Albany,62.9
Navy,62.8
Santa Clara,62.7
Colgate,62.6
NC Central,62.6
Bethune,62.4
Air Force,62.4
Cincinnati,62.1
Loyola Chi,61.8
Columbia,61.8
The Citadel,61.6
Cal Poly,61.3
Wyoming,61.2
Wisconsin,61.1
Drake,60.5
Virginia,60.2
N Iowa,59.6
Denver,59.4
American,59.0
