team,Seas_3PT_Per
F Dickinson,0.321
La Salle,0.321
Sam Houston,0.321
Houston,0.321
San Diego St,0.32
Saint Louis,0.32
Arkansas St,0.32
Sacred Heart,0.32
CS Bakersfield,0.32
Oregon St,0.32
Tulane,0.319
Lamar,0.319
Illinois Chicago,0.318
Stetson,0.318
CS Fullerton,0.318
Pepperdine,0.318
Canisius,0.318
Presbyterian,0.317
App State,0.316
McNeese,0.316
West Virginia,0.316
Cal Poly,0.316
George Mason,0.316
Marist,0.316
Hou Christian,0.315
Kennesaw St,0.315
Missouri St,0.314
E Michigan,0.314
St Bonaventure,0.314
VMI,0.314
Georgia So,0.314
Providence,0.313
UT Arlington,0.313
Fresno St,0.313
Florida Intl,0.313
Florida St,0.313
SE Louisiana,0.312
Nicholls,0.312
Mississippi St,0.311
Texas St,0.311
Brown,0.311
Marshall,0.311
Liberty,0.31
S Florida,0.309
New Mexico,0.308
Louisville,0.307
Quinnipiac,0.307
Wagner,0.306
Binghamton,0.306
Southern,0.306
Rhode Island,0.305
Temple,0.304
Hampton,0.304
Cornell,0.303
Miss Valley St,0.303
Chicago St,0.302
Austin Peay,0.301
South Carolina,0.301
Towson,0.301
Bradley,0.301
S Carolina St,0.301
Syracuse,0.3
UL Monroe,0.299
N Texas,0.299
Clemson,0.299
Saint Joseph's,0.299
Fordham,0.298
Utah Valley,0.298
IU Indy,0.29600000000000004
Jacksonville St,0.295
Rutgers,0.295
UMass,0.295
San Jose St,0.294
Bethune,0.29100000000000004
St Fran (NY),0.29100000000000004
Alabama A&M,0.29100000000000004
Howard,0.289
Nebraska,0.284
NC A&T,0.284
Alcorn St,0.284
Morgan St,0.284
Grambling,0.284
Green Bay,0.28300000000000003
Florida A&M,0.28300000000000003
UT Rio Grande,0.282
Jackson St,0.27399999999999997
Georgia Tech,0.267
Nevada,0.258
Savannah St,0.252
