team,Seas_Succ_3PT
Richmond,0.3
Penn St,0.3
Drexel,0.299
Iowa St,0.298
Marquette,0.298
Tennessee St,0.298
Loyola Chi,0.298
Canisius,0.298
Detroit Mercy,0.297
Minnesota,0.297
Wisconsin,0.297
Colorado St,0.297
NC Central,0.29600000000000004
N Arizona,0.29600000000000004
Alabama,0.29600000000000004
Oregon,0.29600000000000004
Boston College,0.295
Utah Valley,0.295
Wyoming,0.294
Dayton,0.294
Arizona St,0.294
Washington St,0.293
Bucknell,0.293
San Diego,0.293
Wichita St,0.292
Bradley,0.29100000000000004
Jacksonville,0.29100000000000004
E Michigan,0.29100000000000004
W Michigan,0.29
Temple,0.289
LIU-Brooklyn,0.289
Murray St,0.289
SF Austin,0.289
Cal Poly,0.28800000000000003
Tennessee,0.287
NC Greensboro,0.287
Maryland ES,0.287
S Carolina St,0.28600000000000003
Niagara,0.28600000000000003
Wofford,0.28600000000000003
Holy Cross,0.28600000000000003
Albany,0.285
UC Irvine,0.285
Coastal Car,0.285
Cornell,0.284
Louisiana Tech,0.284
Portland,0.284
Oklahoma,0.28300000000000003
Dartmouth,0.28300000000000003
Grand Canyon,0.28300000000000003
McNeese,0.282
Alabama A&M,0.281
Chattanooga,0.281
Manhattan,0.28
Youngstown St,0.28
NC State,0.28
Wake Forest,0.28
Jacksonville St,0.28
Rider,0.27899999999999997
Saint Peter's,0.278
Morehead St,0.278
Texas,0.278
Portland St,0.27699999999999997
Illinois Chicago,0.27699999999999997
Duke,0.27699999999999997
UT Arlington,0.276
Stanford,0.276
Penn,0.276
SE Missouri St,0.275
High Point,0.275
South Dakota,0.275
Fordham,0.275
San Francisco,0.275
Robert Morris,0.275
S Alabama,0.27399999999999997
Hawai'i,0.27399999999999997
Old Dominion,0.273
N Colorado,0.273
UMBC,0.273
UTSA,0.272
Washington,0.272
W Carolina,0.271
Mercer,0.271
Saint Louis,0.27
Samford,0.27
Stetson,0.26899999999999996
Illinois St,0.26899999999999996
Ohio St,0.26899999999999996
North Dakota,0.268
Binghamton,0.268
Sacramento St,0.268
West Virginia,0.268
Gonzaga,0.268
Mississippi,0.267
Miami OH,0.266
Clemson,0.264
Arkansas St,0.264
Missouri St,0.263
Navy,0.263
FGCU,0.262
Saint Joseph's,0.262
CS Bakersfield,0.261
Texas Tech,0.26
NC A&T,0.259
Fresno St,0.259
Xavier,0.259
UCLA,0.258
Radford,0.258
Georgetown,0.258
Morgan St,0.258
Tulsa,0.257
South Carolina,0.257
Oregon St,0.257
SE Louisiana,0.256
Arkansas,0.256
St John's,0.256
Bethune,0.256
Incarnate Word,0.256
Charlotte,0.255
Lamar,0.255
Oral Roberts,0.255
Wagner,0.254
Texas St,0.254
CS Fullerton,0.254
Northeastern,0.254
Nebraska,0.254
San Diego St,0.253
Louisiana,0.253
California,0.253
Nicholls,0.252
Loyola MD,0.252
Kansas,0.25
Loyola Mymt,0.249
Brown,0.248
Hampton,0.248
UL Monroe,0.247
UAB,0.247
Stony Brook,0.24600000000000002
Purdue,0.24600000000000002
Butler,0.24600000000000002
Georgia,0.245
G Washington,0.245
Tenn Tech,0.244
Omaha,0.243
UTEP,0.243
Texas A&M,0.243
Iowa,0.243
Buffalo,0.242
Alabama St,0.242
Monmouth,0.24
Prairie View,0.24
Rutgers,0.24
Lehigh,0.239
Louisville,0.239
C Connecticut,0.239
La Salle,0.239
Vermont,0.23800000000000002
USC,0.23800000000000002
Cincinnati,0.237
Quinnipiac,0.237
Jackson St,0.23600000000000002
St Fran (NY),0.23600000000000002
Toledo,0.23600000000000002
Austin Peay,0.23399999999999999
Norfolk St,0.23399999999999999
LSU,0.23399999999999999
N Illinois,0.23399999999999999
Texas So,0.23199999999999998
New Mexico,0.231
Memphis,0.231
Alcorn St,0.23
Miss Valley St,0.23
Virginia,0.22899999999999998
Colorado,0.22899999999999998
St Bonaventure,0.22699999999999998
N Texas,0.22699999999999998
Texas A&M-CC,0.226
Idaho St,0.22399999999999998
Harvard,0.222
Florida A&M,0.222
Syracuse,0.222
Florida Intl,0.222
Pepperdine,0.21899999999999997
Liberty,0.21899999999999997
Sacred Heart,0.218
Howard,0.217
Providence,0.21600000000000003
S Illinois,0.21600000000000003
Pittsburgh,0.214
NC Wilmington,0.214
S Florida,0.212
Grambling,0.21100000000000002
Siena,0.21100000000000002
Kentucky,0.21
Kansas St,0.21
New Mexico St,0.20800000000000002
Mississippi St,0.20800000000000002
Southern,0.205
Presbyterian,0.203
Georgia St,0.203
IU Indy,0.201
Florida St,0.201
Georgia Tech,0.2
TCU,0.2
UT Rio Grande,0.19899999999999998
Arizona,0.19899999999999998
Rhode Island,0.198
George Mason,0.198
UMass,0.195
Hou Christian,0.192
Towson,0.187
North Carolina,0.187
SMU,0.187
New Orleans,0.187
Evansville,0.185
Green Bay,0.18100000000000002
Savannah St,0.18
Nevada,0.172
CS Northridge,0.154
