team,Seas_Opp_Turnover
Jacksonville,12.5
Texas A&M,12.5
Xavier,12.5
San Francisco,12.5
Radford,12.5
Jacksonville St,12.5
Fordham,12.5
North Dakota,12.5
Wofford,12.5
Bowling Green,12.4
Belmont,12.4
Chattanooga,12.4
Sacramento St,12.4
Cornell,12.4
W Michigan,12.4
Lipscomb,12.4
Albany,12.4
Saint Joseph's,12.4
Air Force,12.3
North Carolina,12.3
NC Central,12.3
Navy,12.3
Boise St,12.3
E Washington,12.3
UC Riverside,12.3
UTEP,12.3
Temple,12.3
Iowa,12.3
Boston College,12.3
Oral Roberts,12.3
NC Greensboro,12.3
McNeese,12.3
Texas So,12.3
Akron,12.2
S Florida,12.2
Baylor,12.2
Youngstown St,12.2
Pepperdine,12.2
Loyola Chi,12.1
UT Rio Grande,12.1
UCLA,12.1
George Mason,12.1
Mississippi St,12.1
Liberty,12.1
Florida A&M,12.1
N Florida,12.1
Virginia Tech,12.1
Mercer,12.1
E Illinois,12.1
S Dakota St,12.1
Denver,12.0
Michigan,12.0
Norfolk St,12.0
UMass,12.0
Alabama,12.0
Seton Hall,12.0
Princeton,12.0
Cincinnati,12.0
Idaho St,12.0
E Carolina,11.9
Yale,11.9
Niagara,11.9
Campbell,11.9
Penn St,11.9
Valparaiso,11.9
Ball St,11.9
Alabama A&M,11.9
Arkansas St,11.9
Iona,11.9
Rutgers,11.8
Wake Forest,11.8
NC A&T,11.8
Colorado St,11.8
Portland St,11.8
Gardner-Webb,11.8
CS Bakersfield,11.8
G Washington,11.7
South Dakota,11.7
Santa Clara,11.7
Georgia Tech,11.7
Hou Christian,11.7
Stony Brook,11.7
Kansas,11.7
Tennessee St,11.7
Illinois Chicago,11.7
Vanderbilt,11.6
Fairfield,11.6
Purdue,11.6
Lehigh,11.6
New Mexico,11.6
J Madison,11.5
Utah,11.5
Drexel,11.5
Penn,11.5
Davidson,11.5
Kent St,11.5
Stanford,11.5
William & Mary,11.5
App State,11.4
UC Davis,11.4
Oregon,11.4
Charleston,11.4
UCSB,11.4
Loyola Mymt,11.4
San Jose St,11.4
W Illinois,11.3
FGCU,11.3
Delaware St,11.3
Montana St,11.3
Colorado,11.3
Loyola MD,11.2
Washington,11.2
Clemson,11.2
Lafayette,11.2
New Hampshire,11.2
Portland,11.2
Notre Dame,11.2
N Iowa,11.2
Gonzaga,11.2
Maryland,11.1
Missouri,11.1
Georgia,11.1
UConn,11.1
Grambling,11.1
Utah Valley,11.1
Oakland,11.1
UC Irvine,11.1
