team,Seas_Fouls
Chattanooga,19.7
E Michigan,19.7
Alabama A&M,19.8
NC Asheville,19.8
Bradley,19.8
N Colorado,19.8
Loyola MD,19.8
Longwood,19.8
S Dakota St,19.8
Maryland ES,19.9
Penn,19.9
Marshall,19.9
Kansas St,19.9
Saint Louis,20.0
Norfolk St,20.0
San Diego,20.0
NJIT,20.1
LIU-Brooklyn,20.1
Tennessee St,20.2
SE Missouri St,20.2
UC Riverside,20.2
Georgetown,20.2
E Tennessee St,20.2
San Francisco,20.3
Penn St,20.3
Hawai'i,20.3
Denver,20.4
Omaha,20.4
N Kentucky,20.4
Auburn,20.4
Samford,20.5
IU Indy,20.5
Charleston,20.5
Coppin St,20.5
Southern,20.6
Texas A&M-CC,20.6
George Mason,20.6
BYU,20.6
Sam Houston,20.6
Abl Christian,20.6
Fresno St,20.6
TCU,20.6
Siena,20.7
Army,20.7
New Orleans,20.7
Hou Christian,20.7
Montana St,20.7
CS Bakersfield,20.8
C Arkansas,20.8
NC Wilmington,20.9
Rhode Island,20.9
Lamar,21.1
Detroit Mercy,21.1
Elon,21.1
Towson,21.2
DePaul,21.2
W Carolina,21.2
Pacific,21.3
Idaho,21.3
Lipscomb,21.3
UT Arlington,21.3
Prairie View,21.4
Hampton,21.4
North Dakota,21.4
SF Austin,21.5
VMI,21.7
Jackson St,21.7
NC Greensboro,22.0
Chicago St,22.2
Nicholls,22.2
S Utah,22.4
F Dickinson,22.6
Wagner,22.8
Morehead St,22.9
Manhattan,23.0
West Virginia,23.5
