team,Seas_Opp_3PT_Rate
Campbell,0.324
Saint Mary's,0.324
W Illinois,0.325
Middle Tenn,0.325
Florida St,0.326
American,0.326
Auburn,0.326
Davidson,0.327
Temple,0.32799999999999996
Georgia Tech,0.32799999999999996
Abl Christian,0.32899999999999996
Vanderbilt,0.32899999999999996
Ball St,0.33
Loyola MD,0.33
SIU Edward,0.33
New Hampshire,0.33
N Arizona,0.331
N Dakota St,0.331
Clemson,0.332
Portland St,0.332
UCSB,0.332
Houston,0.332
Saint Louis,0.33299999999999996
Oregon,0.33299999999999996
Cincinnati,0.33299999999999996
Penn St,0.33299999999999996
LIU-Brooklyn,0.33399999999999996
Dayton,0.33399999999999996
Fresno St,0.33399999999999996
Towson,0.335
Illinois St,0.335
Saint Joseph's,0.336
Winthrop,0.337
Purdue FW,0.337
Hofstra,0.337
Nevada,0.33799999999999997
UConn,0.33799999999999997
Michigan St,0.33799999999999997
Missouri St,0.33899999999999997
Kennesaw St,0.33899999999999997
San Jose St,0.34
Miami,0.34
Miss Valley St,0.34
Bethune,0.341
Santa Clara,0.341
Butler,0.342
Arkansas St,0.342
Evansville,0.342
Utah Valley,0.342
Siena,0.342
Wagner,0.342
F Dickinson,0.342
Omaha,0.34299999999999997
Elon,0.34299999999999997
Iowa St,0.34299999999999997
G Washington,0.34299999999999997
S Florida,0.34299999999999997
Hawai'i,0.344
St Bonaventure,0.344
NC Central,0.345
Oklahoma,0.345
Marist,0.345
Sacred Heart,0.34600000000000003
Murray St,0.34600000000000003
NC Asheville,0.34600000000000003
Ohio,0.34600000000000003
Marshall,0.34700000000000003
Grambling,0.348
Hartford,0.349
Texas St,0.349
Oakland,0.349
UC Davis,0.35
FGCU,0.35
UMBC,0.35
Missouri,0.35
VCU,0.35100000000000003
NJIT,0.35100000000000003
Niagara,0.35100000000000003
Wake Forest,0.35200000000000004
Furman,0.35200000000000004
Wyoming,0.35200000000000004
W Kentucky,0.35200000000000004
Georgia,0.353
UT Rio Grande,0.353
Lamar,0.353
E Washington,0.353
C Connecticut,0.353
USC,0.353
Stony Brook,0.353
St Francis PA,0.353
Colorado St,0.353
South Dakota,0.353
Georgetown,0.354
Michigan,0.355
McNeese,0.355
St John's,0.355
N Kentucky,0.35600000000000004
Bryant,0.35600000000000004
Kansas City,0.35600000000000004
S Carolina St,0.35600000000000004
Tenn Tech,0.35700000000000004
Baylor,0.35700000000000004
E Illinois,0.35700000000000004
Boise St,0.35700000000000004
Creighton,0.35700000000000004
S Illinois,0.358
Texas A&M-CC,0.358
The Citadel,0.358
Utah St,0.359
NC Greensboro,0.359
Drake,0.359
AR-Pine Bluff,0.359
Illinois,0.36
Little Rock,0.36
UL Monroe,0.36
E Carolina,0.36
Cleveland St,0.361
Youngstown St,0.361
Northwestern,0.361
Pacific,0.36200000000000004
C Michigan,0.36200000000000004
SE Louisiana,0.36200000000000004
Providence,0.363
Saint Peter's,0.363
Austin Peay,0.363
South Carolina,0.363
George Mason,0.364
Marquette,0.364
Robert Morris,0.364
Virginia,0.365
Sacramento St,0.365
Maine,0.366
Iowa,0.366
Fordham,0.366
Minnesota,0.366
Belmont,0.366
San Francisco,0.36700000000000005
Charlotte,0.36700000000000005
Delaware St,0.368
North Carolina,0.368
Canisius,0.37
Colorado,0.37
Penn,0.371
NC A&T,0.371
Lafayette,0.371
Georgia So,0.37200000000000005
Xavier,0.37200000000000005
Loyola Chi,0.37200000000000005
Troy,0.373
Jackson St,0.373
Longwood,0.373
Valparaiso,0.373
Mississippi St,0.373
Alabama,0.374
Syracuse,0.374
Cornell,0.375
CS Bakersfield,0.375
Delaware,0.375
Maryland,0.375
Long Beach St,0.376
Ohio St,0.376
Navy,0.376
Rutgers,0.376
Florida A&M,0.377
Bradley,0.377
Bowling Green,0.377
Stetson,0.377
Jacksonville,0.37799999999999995
Buffalo,0.379
N Colorado,0.379
William & Mary,0.38
N Iowa,0.38
J Madison,0.38
Toledo,0.382
Nebraska,0.382
Dartmouth,0.38299999999999995
Texas Tech,0.384
Tulsa,0.384
Montana,0.384
Binghamton,0.384
Rider,0.384
UCLA,0.385
Chicago St,0.385
Florida Intl,0.386
CS Northridge,0.386
E Michigan,0.386
UT Martin,0.386
Howard,0.387
Loyola Mymt,0.387
UMass Lowell,0.38799999999999996
Maryland ES,0.389
Virginia Tech,0.389
High Point,0.39
Old Dominion,0.39
Coastal Car,0.396
SC Upstate,0.39799999999999996
UTSA,0.39899999999999997
Norfolk St,0.4
Mississippi,0.401
Boston U,0.401
Mercer,0.401
Duquesne,0.401
N Texas,0.401
Seattle,0.401
Lehigh,0.402
Detroit Mercy,0.40299999999999997
W Carolina,0.40399999999999997
E Kentucky,0.405
Miami OH,0.405
UT Arlington,0.405
Charleston So,0.405
W Michigan,0.406
Lipscomb,0.40700000000000003
Oregon St,0.409
Southern Miss,0.41200000000000003
Albany,0.41700000000000004
Liberty,0.41700000000000004
New Mexico,0.418
Georgia St,0.42
Monmouth,0.424
Tennessee St,0.426
Idaho St,0.42700000000000005
Texas A&M,0.428
Idaho,0.431
Tennessee,0.431
N Illinois,0.434
Presbyterian,0.434
Air Force,0.441
E Tennessee St,0.441
SMU,0.457
