team,Seas_Opp_Def_Rebound
Hartford,0.7859999999999999
E Illinois,0.7879999999999999
Abl Christian,0.789
Cornell,0.79
Richmond,0.7929999999999999
Drake,0.794
UMBC,0.794
Dayton,0.7959999999999999
Wright St,0.7979999999999999
Maine,0.799
S Utah,0.8
Utah St,0.802
E Kentucky,0.8029999999999999
Wyoming,0.804
UMass Lowell,0.807
Marist,0.809
American,0.8109999999999999
Denver,0.812
Princeton,0.8170000000000001
W Illinois,0.825
