team,Seas_Off_Rebound_Per
S Carolina St,0.278
E Michigan,0.278
Illinois,0.278
Brown,0.278
AR-Pine Bluff,0.278
Alabama,0.278
Oakland,0.27699999999999997
W Michigan,0.27699999999999997
UTEP,0.27699999999999997
Montana St,0.27699999999999997
Wofford,0.27699999999999997
Missouri,0.276
NW State,0.276
La Salle,0.276
NC Greensboro,0.276
San Diego,0.276
Arkansas St,0.275
S Alabama,0.275
UCF,0.275
Holy Cross,0.275
S Dakota St,0.275
Miss Valley St,0.27399999999999997
Missouri St,0.27399999999999997
Air Force,0.273
SE Louisiana,0.273
Weber St,0.273
Idaho St,0.273
N Florida,0.273
Monmouth,0.273
Furman,0.273
Oregon St,0.272
Bryant,0.272
Minnesota,0.272
Illinois Chicago,0.271
Lipscomb,0.271
Louisiana Tech,0.271
E Washington,0.271
Navy,0.27
Maryland,0.27
Miami,0.27
Detroit Mercy,0.27
N Kentucky,0.27
Savannah St,0.26899999999999996
NJIT,0.26899999999999996
Little Rock,0.26899999999999996
Marshall,0.26899999999999996
Army,0.26899999999999996
Iowa St,0.268
Kennesaw St,0.267
Texas St,0.267
Pepperdine,0.266
Campbell,0.266
Belmont,0.265
Grambling,0.265
UT Rio Grande,0.265
CS Fullerton,0.265
Penn,0.265
C Michigan,0.264
Samford,0.263
Marquette,0.263
Iona,0.262
J Madison,0.262
Florida Intl,0.262
Utah Valley,0.262
Lafayette,0.261
E Carolina,0.26
Delaware,0.26
Notre Dame,0.26
Jacksonville St,0.259
SIU Edward,0.259
Santa Clara,0.259
Lehigh,0.259
Boise St,0.258
Charleston,0.258
Boston U,0.257
St John's,0.256
DePaul,0.256
Sacramento St,0.256
Elon,0.256
Fairfield,0.255
CS Northridge,0.255
C Arkansas,0.254
Vermont,0.254
UC Davis,0.254
Southern Miss,0.253
Montana,0.251
UNLV,0.251
Loyola Chi,0.251
Drexel,0.251
F Dickinson,0.249
Longwood,0.249
New Hampshire,0.249
Portland St,0.249
Nebraska,0.248
Northwestern,0.248
Auburn,0.248
Jacksonville,0.248
St Francis PA,0.247
N Iowa,0.247
Oklahoma St,0.24600000000000002
Presbyterian,0.245
N Dakota St,0.244
Tennessee St,0.243
Ohio,0.243
Milwaukee,0.242
Grand Canyon,0.242
Youngstown St,0.24100000000000002
Washington St,0.24
Boston College,0.239
Saint Louis,0.23800000000000002
Binghamton,0.237
Incarnate Word,0.237
Rice,0.237
California,0.23600000000000002
Fresno St,0.23399999999999999
Florida Atlantic,0.233
Miami OH,0.23199999999999998
Coppin St,0.23199999999999998
San Jose St,0.23
Purdue FW,0.22899999999999998
Virginia Tech,0.228
Stetson,0.228
Indiana St,0.22699999999999998
William & Mary,0.226
Michigan,0.22399999999999998
Evansville,0.22399999999999998
Florida A&M,0.223
Colgate,0.217
North Dakota,0.215
Hartford,0.214
E Illinois,0.212
Abl Christian,0.21100000000000002
Cornell,0.21
Richmond,0.207
Drake,0.20600000000000002
UMBC,0.20600000000000002
Dayton,0.204
Wright St,0.20199999999999999
Maine,0.201
S Utah,0.2
Utah St,0.198
E Kentucky,0.19699999999999998
Wyoming,0.196
UMass Lowell,0.193
Marist,0.191
American,0.18899999999999997
Denver,0.188
Princeton,0.183
W Illinois,0.175
