team,Seas_PPG
Kansas City,64.2
CS Northridge,64.2
Ball St,64.1
UConn,64.1
Austin Peay,64.0
Fordham,64.0
Miss Valley St,63.9
Michigan,63.8
UC Riverside,63.7
Florida,63.7
Idaho St,63.6
Illinois Chicago,63.6
CS Fullerton,63.5
App State,63.5
Northwestern,63.5
Montana St,63.4
Alcorn St,63.4
Arkansas St,63.4
Fresno St,63.3
Georgia Tech,63.3
Tennessee,63.3
Dartmouth,63.3
George Mason,63.2
Nicholls,63.2
La Salle,63.2
Jacksonville,63.2
St Francis PA,63.2
Harvard,63.2
Wright St,63.2
E Illinois,63.1
Columbia,63.1
Mt St Mary's,63.1
Middle Tenn,63.1
Pacific,63.0
Kansas St,63.0
Tulane,62.8
Furman,62.7
Pepperdine,62.7
Clemson,62.7
Santa Clara,62.7
Southern,62.5
Towson,62.5
Florida Atlantic,62.5
The Citadel,62.3
Denver,62.2
Cincinnati,62.1
Loyola Chi,62.1
E Carolina,62.1
UL Monroe,62.1
Florida Intl,62.0
New Mexico,62.0
Campbell,61.9
Mississippi St,61.9
Kennesaw St,61.8
Saint Joseph's,61.7
Liberty,61.6
San Diego St,61.5
Loyola Mymt,61.5
Seattle,61.5
Nebraska,61.5
CS Bakersfield,61.3
Alabama A&M,61.3
Morgan St,61.2
Wyoming,61.2
Hartford,61.2
Saint Peter's,61.2
Marist,61.2
S Florida,61.1
Jacksonville St,61.0
Abl Christian,61.0
Texas Tech,60.9
W Illinois,60.8
Navy,60.8
IU Indy,60.7
Cornell,60.7
Jackson St,60.7
Howard,60.6
Maine,60.4
Penn,60.3
Oregon St,60.0
Missouri,60.0
UMass Lowell,59.9
Drexel,59.8
Texas St,59.8
Cal Poly,59.8
AR-Pine Bluff,59.8
UT Rio Grande,59.6
Fairfield,59.5
Presbyterian,59.5
Nevada,59.4
Rutgers,59.3
C Connecticut,59.2
S Illinois,59.1
Saint Louis,59.1
Missouri St,58.9
Southern Miss,58.9
Loyola MD,58.8
American,58.7
Drake,58.7
Charleston,58.6
S Carolina St,57.8
NC A&T,57.8
Utah Valley,57.1
Binghamton,57.0
Bethune,57.0
Bradley,56.3
UMBC,56.1
Tennessee St,55.9
Savannah St,55.7
Florida A&M,55.4
Chicago St,55.2
San Jose St,52.5
Grambling,51.1
