team,Seas_Def_Rebound_Per
Texas Tech,0.6920000000000001
Houston,0.6920000000000001
Tennessee St,0.6920000000000001
Mercer,0.691
Radford,0.691
Marshall,0.691
Manhattan,0.691
Binghamton,0.691
Maine,0.69
E Tennessee St,0.69
VMI,0.69
UT Arlington,0.69
Grand Canyon,0.6890000000000001
C Connecticut,0.6890000000000001
Bryant,0.6890000000000001
Fresno St,0.6890000000000001
Iona,0.6890000000000001
Tennessee,0.6890000000000001
Samford,0.688
Murray St,0.688
J Madison,0.688
N Texas,0.688
Missouri,0.687
New Orleans,0.687
Duquesne,0.687
Georgia So,0.687
Air Force,0.687
Idaho St,0.687
LSU,0.687
NJIT,0.6859999999999999
San Jose St,0.6859999999999999
Richmond,0.6859999999999999
Vanderbilt,0.6859999999999999
Washington,0.6859999999999999
Jacksonville,0.6859999999999999
SC Upstate,0.685
E Michigan,0.685
Liberty,0.685
Gardner-Webb,0.684
Texas So,0.684
Sacred Heart,0.684
Texas A&M-CC,0.6829999999999999
Presbyterian,0.6829999999999999
Monmouth,0.6829999999999999
Fairfield,0.682
Chicago St,0.682
S Alabama,0.682
Bethune,0.682
Arkansas,0.6809999999999999
Hawai'i,0.6809999999999999
Kennesaw St,0.679
Seton Hall,0.6779999999999999
Long Beach St,0.6779999999999999
UC Davis,0.6779999999999999
S Carolina St,0.6779999999999999
Troy,0.6779999999999999
Utah St,0.677
Southern,0.6759999999999999
E Illinois,0.674
Savannah St,0.674
Louisiana Tech,0.674
McNeese,0.6729999999999999
Auburn,0.6729999999999999
St John's,0.6729999999999999
S Florida,0.6729999999999999
NC A&T,0.6729999999999999
USC,0.672
Loyola Mymt,0.6709999999999999
Howard,0.6709999999999999
W Carolina,0.6709999999999999
Santa Clara,0.6709999999999999
Georgia St,0.67
Southern Miss,0.67
Abl Christian,0.67
Lafayette,0.67
Youngstown St,0.67
Nicholls,0.669
E Carolina,0.669
Jacksonville St,0.6679999999999999
Morgan St,0.664
DePaul,0.664
Longwood,0.664
The Citadel,0.6629999999999999
Kansas City,0.6609999999999999
Stetson,0.66
E Kentucky,0.659
Florida A&M,0.659
Grambling,0.657
Marist,0.652
UCF,0.652
Alabama A&M,0.65
Marquette,0.649
Robert Morris,0.649
UT Rio Grande,0.648
Alcorn St,0.647
C Arkansas,0.6459999999999999
Virginia Tech,0.644
Siena,0.643
Coppin St,0.637
NW State,0.622
AR-Pine Bluff,0.619
Miss Valley St,0.616
Prairie View,0.615
F Dickinson,0.602
