"year","team","year_team","seed","Finish","First_Rd","Second_Rd","Sweet_Sixteen","Elite_Eight","Final_Four","Championship","Pts","AdjEM","AdjO","AdjD","AdjT","Luck","Seas_PPG","Seas_Succ_3PT","Seas_3PT_Per","Seas_FT_Succ","Seas_3PT_Rate","Seas_Off_Rebound_Per","Seas_Def_Rebound_Per","Seas_Turnovers","Seas_Fouls","Seas_Opp_PPG","Seas_Opp_3PT_Succ","Seas_Opp_3PT_Rate","Seas_Opp_Off_Rebound","Seas_Opp_Def_Rebound","Seas_Opp_Turnover","Seas_Opp_Fouls","Seas_Poss"
"2023","Tennessee","2023Tennessee","4","3","1","1","0","0","0","0","3","24.71","112.7","88.0","65.5","-0.071","71.8","0.325","0.329","0.714","0.404","0.359","0.756","12.1","16.8","58.0","0.262","0.416","0.244","0.641","14.8","17.8","68.0"
"2023","Virginia","2023Virginia","4","1","0","0","0","0","0","0","0","16.41","111.2","94.8","61.6","0.045","67.8","0.301","0.353","0.701","0.361","0.236","0.774","8.5","14.3","60.3","0.34","0.397","0.226","0.764","12.3","16.2","64.0"
"2023","Duke","2023Duke","5","2","1","0","0","0","0","0","1","18.49","113.2","94.8","65.3","0.059","72.5","0.283","0.336","0.77","0.354","0.353","0.764","12.0","15.1","63.9","0.306","0.35","0.236","0.647","11.0","16.4","67.3"
"2023","Miami FL","2023Miami FL","5","5","1","1","1","1","0","0","15","14.91","118.2","103.3","68.9","0.017","79.4","0.287","0.368","0.776","0.346","0.302","0.734","11.3","14.4","72.1","0.336","0.377","0.266","0.698","12.6","15.1","70.7"
"2023","Saint Mary's","2023Saint Mary's","5","2","1","0","0","0","0","0","1","21.9","113.5","91.6","61.7","0.004","63.8","0.315","0.36","0.736","0.339","0.253","0.709","13.8","16.4","67.9","0.337","0.361","0.291","0.747","11.9","15.5","67.8"
"2023","San Diego St.","2023San Diego St.","5","6","1","1","1","1","1","0","31","20.25","111.9","91.7","66.0","0.047","71.3","0.286","0.344","0.736","0.349","0.307","0.762","11.7","16.5","63.8","0.292","0.401","0.238","0.693","13.1","18.2","68.4"
"2023","Creighton","2023Creighton","6","4","1","1","1","0","0","0","7","20.65","114.6","94.0","68.0","-0.074","76.6","0.349","0.36","0.767","0.42","0.244","0.781","11.6","13.2","68.5","0.341","0.298","0.219","0.756","10.0","15.8","71.0"
"2023","Iowa St.","2023Iowa St.","6","1","0","0","0","0","0","0","0","18.33","109.9","91.6","64.3","-0.034","68.4","0.286","0.339","0.674","0.338","0.319","0.759","13.1","19.1","62.8","0.338","0.468","0.241","0.681","16.6","16.9","67.8"
"2023","Kentucky","2023Kentucky","6","2","1","0","0","0","0","0","1","17.8","117.4","99.6","66.0","-0.014","75.1","0.255","0.354","0.703","0.301","0.372","0.778","11.7","16.1","68.0","0.331","0.352","0.222","0.628","11.3","17.1","69.1"
"2023","TCU","2023TCU","6","2","1","0","0","0","0","0","1","18.06","112.4","94.3","69.8","-0.034","75.2","0.218","0.306","0.701","0.294","0.313","0.715","12.2","16.2","67.9","0.304","0.35","0.285","0.687","15.6","16.5","72.5"
