source,raw_team,normalized_team,canonical_team,match_method,year
games,Wisconsin,wisconsin,Wisconsin,season_exact,2016
games,Providence,providence,Providence,season_exact,2016
games,Kentucky,kentucky,Kentucky,season_exact,2016
games,SF Austin,stephen f austin,Stephen F Austin,global_alias,2016
games,Xavier,xavier,Xavier,season_exact,2016
games,FGCU,fgcu,Florida Gulf Coast,global_alias,2016
games,USC,usc,USC,season_exact,2016
games,Chattanooga,chattanooga,Chattanooga,season_exact,2016
games,Stony Brook,stony brook,Stony Brook,season_exact,2016
games,Michigan,michigan,Michigan,season_exact,2016
games,West Virginia,west virginia,West Virginia,season_exact,2016
games,Pitt,pitt,Pittsburgh,global_alias,2016
games,Weber St,weber st,Weber St,season_exact,2016
games,Oklahoma,oklahoma,Oklahoma,season_exact,2016
games,Syracuse,syracuse,Syracuse,season_exact,2016
games,Oregon,oregon,Oregon,season_exact,2016
games,Holy Cross,holy cross,Holy Cross,season_exact,2016
games,Saint Joseph's,st joseph s,St Josephs,global_alias,2016
games,Cincinnati,cincinnati,Cincinnati,season_exact,2016
games,Baylor,baylor,Baylor,season_exact,2016
games,Yale,yale,Yale,season_exact,2016
games,Duke,duke,Duke,season_exact,2016
games,UNC Wilmington,unc wilmington,UNC Wilmington,season_exact,2016
games,Texas,texas,Texas,season_exact,2016
games,Northern Iowa,northern iowa,Northern Iowa,season_exact,2016
games,Texas A&M,texas a and m,Texas A&M,season_exact,2016
games,Green Bay,green bay,Wisconsin Green Bay,global_alias,2016
games,Oregon St,oregon st,Oregon St,season_exact,2016
games,VCU,vcu,VCU,season_exact,2016
games,Bakersfield,bakersfield,Cal St Bakersfield,global_alias,2016
games,Virginia,virginia,Virginia,season_exact,2016
games,Iowa State,iowa state,Iowa St,global_alias,2016
games,Gonzaga,gonzaga,Gonzaga,season_exact,2016
games,Butler,butler,Butler,season_exact,2016
games,Little Rock,little rock,Arkansas Little Rock,global_alias,2016
games,Utah,utah,Utah,season_exact,2016
games,MTSU,mtsu,Middle Tennessee St,global_alias,2016
games,Hampton,hampton,Hampton,season_exact,2016
games,Texas Tech,texas tech,Texas Tech,season_exact,2016
games,Purdue,purdue,Purdue,season_exact,2016
games,Iona,iona,Iona,season_exact,2016
games,Seton Hall,seton hall,Seton Hall,season_exact,2016
games,Fresno St,fresno st,Fresno St,season_exact,2016
games,Dayton,dayton,Dayton,season_exact,2016
games,Michigan St,michigan st,Michigan St,global_alias,2016
games,VILL,vill,Villanova,abbreviation_alias,2016
games,UNC,unc,North Carolina,global_alias,2016
games,Villanova,villanova,Villanova,season_exact,2017
games,Mount St Marys,mount st marys,Mount St Marys,season_exact,2017
games,Wisconsin,wisconsin,Wisconsin,season_exact,2017
games,Virginia Tech,virginia tech,Virginia Tech,season_exact,2017
games,Virginia,virginia,Virginia,season_exact,2017
games,UNC Wilmington,unc wilmington,UNC Wilmington,season_exact,2017
games,Florida,florida,Florida,season_exact,2017
games,ETSU,etsu,East Tennessee St,season_exact,2017
games,SMU,smu,SMU,season_exact,2017
games,USC,usc,USC,season_exact,2017
games,Baylor,baylor,Baylor,season_exact,2017
games,New Mexico St,new mexico st,New Mexico St,season_exact,2017
games,South Carolina,south carolina,South Carolina,global_alias,2017
games,Marquette,marquette,Marquette,season_exact,2017
games,Duke,duke,Duke,season_exact,2017
games,Troy,troy,Troy,season_exact,2017
games,Kansas,kansas,Kansas,season_exact,2017
games,Oregon,oregon,Oregon,season_exact,2017
games,Purdue,purdue,Purdue,season_exact,2017
games,Michigan,michigan,Michigan,season_exact,2017
games,Michigan St,michigan st,Michigan St,global_alias,2017
games,Iowa State,iowa state,Iowa St,global_alias,2017
games,Rhode Island,rhode island,Rhode Island,season_exact,2017
games,Louisville,louisville,Louisville,season_exact,2017
games,UC Davis,uc davis,UC Davis,season_exact,2017
games,Miami,miami,Miami,global_alias,2017
games,Nevada,nevada,Nevada,season_exact,2017
games,Vermont,vermont,Vermont,season_exact,2017
games,Creighton,creighton,Creighton,season_exact,2017
games,Iona,iona,Iona,season_exact,2017
games,Oklahoma St,oklahoma st,Oklahoma St,season_exact,2017
games,Jax State,jacksonville st,Jacksonville St,season_exact,2017
games,Gonzaga,gonzaga,Gonzaga,season_exact,2017
games,North Carolina,north carolina,North Carolina,global_alias,2017
games,S Dakota St,south dakota st,South Dakota St,global_alias,2017
games,Northwestern,northwestern,Northwestern,season_exact,2017
games,Vanderbilt,vanderbilt,Vanderbilt,season_exact,2017
games,Notre Dame,notre dame,Notre Dame,season_exact,2017
games,Princeton,princeton,Princeton,season_exact,2017
games,West Virginia,west virginia,West Virginia,season_exact,2017
games,Bucknell,bucknell,Bucknell,season_exact,2017
games,Maryland,maryland,Maryland,season_exact,2017
