year,team,year_team,seed,Finish,First_Rd,Second_Rd,Sweet_Sixteen,Elite_Eight,Final_Four,Championship,Pts,AdjEM,AdjO,AdjD,AdjT,Luck,Seas_PPG,Seas_Succ_3PT,Seas_3PT_Per,Seas_FT_Succ,Seas_3PT_Rate,Seas_Off_Rebound_Per,Seas_Def_Rebound_Per,Seas_Turnovers,Seas_Fouls,Seas_Opp_PPG,Seas_Opp_3PT_Succ,Seas_Opp_3PT_Rate,Seas_Opp_Off_Rebound,Seas_Opp_Def_Rebound,Seas_Opp_Turnover,Seas_Opp_Fouls,Seas_Poss
2013,Duke,2013Duke,2,4,1,1,1,0,0,0,7,26.98,119.1,92.1,66.7,0.033,78.3,0.297,0.406,0.732,0.333,0.281,0.685,10.7,17.7,65.4,0.293,0.268,0.315,0.719,14.4,19.1,69.8
2013,Michigan St,2013Michigan St,3,3,1,1,0,0,0,0,3,24.17,112.6,88.5,63.1,0.001,67.5,0.221,0.344,0.71,0.273,0.338,0.735,13.2,16,59.4,0.302,0.338,0.265,0.662,12.7,17.1,65.5
2013,St Louis,2013St Louis,4,2,1,0,0,0,0,0,1,20.01,108.6,88.6,63.8,0,68.7,0.269,0.346,0.706,0.343,0.26,0.735,11.5,17.4,58.1,0.329,0.267,0.265,0.74,15.2,20.6,66.5
2013,Oklahoma St,2013Oklahoma St,5,1,0,0,0,0,0,0,0,18.69,109,90.3,66.1,-0.016,72.4,0.231,0.316,0.75,0.312,0.305,0.713,12.4,17.9,62.8,0.322,0.342,0.287,0.695,14.8,19.6,69.9
2013,Memphis,2013Memphis,6,2,1,0,0,0,0,0,1,16.33,107.3,91,68.3,0.056,75.9,0.244,0.379,0.666,0.283,0.35,0.721,14.6,18.1,65.1,0.335,0.305,0.279,0.65,15.4,18.8,72
2013,Creighton,2013Creighton,7,2,1,0,0,0,0,0,1,21.75,118.3,96.5,63.8,-0.009,75.4,0.349,0.421,0.75,0.396,0.284,0.751,12.3,16.2,63.1,0.313,0.331,0.249,0.716,10.6,17.6,66.2
2013,Colorado St,2013Colorado St,8,2,1,0,0,0,0,0,1,19.12,117.9,98.8,63.8,0.02,72.3,0.213,0.334,0.709,0.273,0.412,0.785,10.7,17,63.5,0.339,0.376,0.215,0.588,10.8,20.7,65.5
2013,Gonzaga,2013Gonzaga,1,2,1,0,0,0,0,0,1,27.81,120.5,92.7,63.3,0.026,76.8,0.243,0.364,0.712,0.311,0.37,0.727,11.2,15.9,59.5,0.318,0.38,0.273,0.63,13.6,20,66.8
2013,Ohio St,2013Ohio St,2,4,1,1,1,0,0,0,7,25.42,115.1,89.7,63.6,0.02,69.3,0.261,0.351,0.693,0.311,0.314,0.749,10.6,15.5,57.9,0.32,0.357,0.251,0.686,13.2,16.6,65.1
2013,New Mexico,2013New Mexico,3,1,0,0,0,0,0,0,0,19.02,109.9,90.9,63.7,0.073,67.4,0.285,0.354,0.722,0.35,0.274,0.732,11.6,15.3,60.4,0.343,0.39,0.268,0.726,12.7,19.7,66.4
2013,Kansas St,2013Kansas St,4,1,0,0,0,0,0,0,0,18.16,113.5,95.3,61.4,0.051,68.7,0.298,0.359,0.689,0.332,0.376,0.676,11.6,18.3,61.4,0.331,0.289,0.324,0.624,14.3,16.6,64.9
2013,Wisconsin,2013Wisconsin,5,1,0,0,0,0,0,0,0,22.57,108.3,85.7,60.4,-0.033,65.5,0.339,0.334,0.633,0.397,0.315,0.76,9.7,14,55.9,0.292,0.248,0.24,0.685,11.2,17.4,63.6
2013,Arizona,2013Arizona,6,3,1,1,0,0,0,0,3,21.88,115.4,93.5,65.5,-0.012,73.3,0.313,0.363,0.748,0.379,0.343,0.753,13.1,16.3,63.7,0.36,0.304,0.247,0.657,13.8,17.9,68.9
2013,Notre Dame,2013Notre Dame,7,1,0,0,0,0,0,0,0,16.65,114.6,97.9,60.3,0.046,70.4,0.281,0.373,0.707,0.32,0.315,0.725,11.1,14.2,63.1,0.322,0.29,0.275,0.685,10.4,17.4,65.5
2013,Pittsburgh,2013Pittsburgh,8,1,0,0,0,0,0,0,0,24.08,115.6,91.5,59.3,-0.058,69.6,0.218,0.36,0.664,0.261,0.401,0.728,10.9,17.1,55.4,0.312,0.352,0.272,0.599,13.6,17.6,62.4
2013,Kansas,2013Kansas,1,3,1,1,0,0,0,0,3,25.23,112.7,87.5,66.4,0.01,75.4,0.24,0.367,0.733,0.296,0.331,0.73,13.7,16.9,61.5,0.307,0.362,0.27,0.669,12.9,18.4,70
2013,Georgetown,2013Georgetown,2,1,0,0,0,0,0,0,0,21.24,107.6,86.4,61.2,0.038,64.6,0.273,0.358,0.68,0.325,0.293,0.712,12.7,16.8,55.7,0.304,0.341,0.288,0.707,14.3,18.3,64.5
2013,Florida,2013Florida,3,4,1,1,1,0,0,0,7,31.18,117.2,86,61.9,-0.089,71.6,0.352,0.381,0.68,0.404,0.334,0.737,11.1,14.1,53.7,0.301,0.331,0.263,0.666,14,15.6,64.1
2013,Michigan,2013Michigan,4,6,1,1,1,1,1,0,31,27.86,121.9,94,64,-0.007,74.4,0.296,0.375,0.71,0.34,0.301,0.716,9.2,13.1,62.9,0.332,0.35,0.284,0.699,12.1,15.5,65.6
2013,VCU,2013VCU,5,2,1,0,0,0,0,0,1,20.28,114,93.7,66.4,0.002,77.3,0.308,0.352,0.701,0.362,0.369,0.678,11.9,19.9,64.8,0.336,0.33,0.322,0.631,19.9,17.6,70.8
2013,UCLA,2013UCLA,6,1,0,0,0,0,0,0,0,14.53,111.1,96.6,68.1,0.068,74.7,0.197,0.339,0.722,0.238,0.28,0.676,11.1,14.9,68.9,0.319,0.309,0.324,0.72,14.1,16.1,72.1
2013,San Diego St,2013San Diego St,7,2,1,0,0,0,0,0,1,17.43,107.7,90.3,65.5,-0.049,68.3,0.259,0.324,0.684,0.324,0.305,0.732,11.9,15.2,61.2,0.319,0.323,0.268,0.695,12.3,17.5,67.9
2013,North Carolina,2013North Carolina,8,2,1,0,0,0,0,0,1,17.14,112.2,95.1,69.6,0.038,76.2,0.289,0.37,0.673,0.307,0.331,0.701,12.3,14.9,69.1,0.349,0.326,0.299,0.669,15.2,16.5,73.2
2013,Indiana,2013Indiana,1,3,1,1,0,0,0,0,3,29.31,120.8,91.5,66,-0.021,80,0.274,0.411,0.745,0.321,0.388,0.719,13,17.1,62.5,0.306,0.329,0.281,0.612,14.4,20.6,69.9
