team,Seas_Opp_Turnover
Tennessee,11.1
Michigan,11.1
Harvard,11.1
Kentucky,11.1
NW State,11.0
Siena,11.0
Florida Atlantic,11.0
UC Riverside,11.0
NJIT,11.0
Georgetown,11.0
Wichita St,11.0
Milwaukee,10.9
Arkansas St,10.9
Minnesota,10.9
Colorado,10.9
UT Rio Grande,10.9
New Hampshire,10.9
Yale,10.9
N Arizona,10.9
New Haven,10.9
Cornell,10.8
Gardner-Webb,10.8
Tulsa,10.8
Cleveland St,10.8
Jacksonville St,10.8
Butler,10.8
E Michigan,10.7
Queens,10.7
Robert Morris,10.7
Oakland,10.7
Drexel,10.7
Montana St,10.7
Rice,10.7
Ohio St,10.6
Loyola MD,10.6
Army,10.6
VMI,10.6
Idaho,10.6
Virginia,10.6
Oklahoma,10.6
Pittsburgh,10.5
Presbyterian,10.5
S Utah,10.5
Niagara,10.5
NC Asheville,10.5
Oregon,10.5
Colgate,10.5
Evansville,10.5
W Georgia,10.4
New Orleans,10.4
Mt St Mary's,10.4
Morehead St,10.4
Albany,10.4
F Dickinson,10.4
Indiana St,10.4
Le Moyne,10.4
Saint Joseph's,10.4
Canisius,10.3
Stetson,10.3
Oregon St,10.3
E Kentucky,10.3
Tenn Tech,10.3
Wofford,10.3
Incarnate Word,10.3
Old Dominion,10.3
Oral Roberts,10.2
Purdue,10.2
UTSA,10.2
Middle Tenn,10.2
Temple,10.2
Columbia,10.2
Indiana,10.2
Montana,10.2
UMBC,10.2
Lafayette,10.2
Air Force,10.2
Charleston,10.1
George Mason,10.1
Wisconsin,10.1
W Illinois,10.1
W Carolina,10.1
Saint Mary's,10.1
South Carolina,10.1
Rider,10.0
Detroit Mercy,10.0
Bellarmine,10.0
Washington St,10.0
Boston College,10.0
Texas Tech,10.0
Maryland,10.0
Drake,10.0
New Mexico St,10.0
Pacific,10.0
Sacred Heart,10.0
Michigan St,9.9
Boise St,9.9
Wagner,9.9
Hofstra,9.9
NC Wilmington,9.9
Idaho St,9.9
S Dakota St,9.9
Washington,9.9
Colorado St,9.8
Jacksonville,9.8
LSU,9.8
NC A&T,9.8
UMass Lowell,9.8
Providence,9.8
The Citadel,9.7
Towson,9.7
Omaha,9.7
Creighton,9.7
Dartmouth,9.6
Vermont,9.6
N Alabama,9.6
Kansas,9.6
Charleston So,9.6
Bryant,9.5
San Francisco,9.5
Alabama,9.5
NC Greensboro,9.5
Notre Dame,9.5
North Carolina,9.4
Princeton,9.3
W Michigan,9.3
Holy Cross,9.3
Texas,9.3
Mississippi St,9.3
N Florida,9.2
Furman,9.2
Delaware,9.2
C Connecticut,9.1
Utah,9.1
Stonehill,9.0
Denver,9.0
App State,9.0
Samford,9.0
Charlotte,8.9
Chattanooga,8.9
N Colorado,8.8
Binghamton,8.8
J Madison,8.6
Green Bay,8.6
Coastal Car,8.6
Loyola Chi,8.5
Boston U,8.5
Illinois,7.8
