team,Seas_Off_Rebound_Per
Colgate,0.244
Indiana,0.243
Vermont,0.243
Drake,0.242
N Colorado,0.24100000000000002
Miss Valley St,0.24100000000000002
Ball St,0.24100000000000002
William & Mary,0.239
Sacramento St,0.239
UCSD,0.23800000000000002
Chicago St,0.23800000000000002
NJIT,0.23800000000000002
Lipscomb,0.23800000000000002
Penn St,0.23800000000000002
Mercyhurst,0.23800000000000002
New Hampshire,0.237
Cleveland St,0.23600000000000002
VMI,0.23399999999999999
Long Beach St,0.233
Lafayette,0.233
NW State,0.233
E Texas A&M,0.231
Miami OH,0.23
Old Dominion,0.23
Le Moyne,0.22899999999999998
Richmond,0.22899999999999998
Seattle,0.22899999999999998
Indiana St,0.228
UMBC,0.228
Green Bay,0.226
Omaha,0.226
UC Davis,0.225
Merrimack,0.225
N Florida,0.225
California,0.22399999999999998
Samford,0.22399999999999998
UL Monroe,0.221
S Alabama,0.22
N Arizona,0.21899999999999997
Dartmouth,0.21899999999999997
Niagara,0.21600000000000003
CS Fullerton,0.21600000000000003
Lehigh,0.20800000000000002
Bellarmine,0.20800000000000002
Gardner-Webb,0.207
Purdue FW,0.203
Evansville,0.203
Chattanooga,0.201
St Thomas,0.19899999999999998
N Iowa,0.198
Air Force,0.193
New Haven,0.192
Tulane,0.192
Holy Cross,0.192
Delaware,0.183
Binghamton,0.18100000000000002
Montana,0.179
Maine,0.165
Liberty,0.161
